GP,Driver,Stint,YellowLaps,SCLaps,VSCLaps,RedFlagLaps
Singapore Grand Prix,GAS,1.0,2,0,0,0
Singapore Grand Prix,GAS,2.0,1,0,0,0
Singapore Grand Prix,GAS,3.0,0,0,0,0
Singapore Grand Prix,GAS,4.0,8,0,0,0
Singapore Grand Prix,HAM,1.0,1,0,0,0
Singapore Grand Prix,HAM,2.0,1,0,0,0
Singapore Grand Prix,HAM,3.0,1,0,0,0
Singapore Grand Prix,HAM,4.0,8,0,0,0
Singapore Grand Prix,HAM,5.0,1,0,0,1
Singapore Grand Prix,HAM,6.0,0,0,0,0
Singapore Grand Prix,HUL,1.0,1,0,0,0
Singapore Grand Prix,HUL,2.0,2,0,0,0
Singapore Grand Prix,HUL,3.0,0,0,0,0
Singapore Grand Prix,HUL,4.0,8,0,0,0
Singapore Grand Prix,HUL,5.0,1,0,0,1
Singapore Grand Prix,HUL,6.0,0,0,0,0
Singapore Grand Prix,LEC,1.0,2,0,0,0
Singapore Grand Prix,LEC,2.0,0,0,0,0
Singapore Grand Prix,LEC,3.0,1,0,0,0
Singapore Grand Prix,LEC,4.0,0,0,0,0
Singapore Grand Prix,LEC,5.0,8,0,0,1
Singapore Grand Prix,LEC,6.0,0,0,0,0
Singapore Grand Prix,MAG,1.0,2,0,0,0
Singapore Grand Prix,MAG,2.0,0,0,0,0
Singapore Grand Prix,MAG,3.0,9,0,0,0
Singapore Grand Prix,MAG,4.0,0,0,0,0
Singapore Grand Prix,NOR,1.0,2,0,0,0
Singapore Grand Prix,NOR,2.0,0,0,0,0
Singapore Grand Prix,NOR,3.0,2,0,0,0
Singapore Grand Prix,NOR,4.0,2,0,0,0
Singapore Grand Prix,NOR,5.0,5,0,0,1
Singapore Grand Prix,NOR,6.0,0,0,0,0
Singapore Grand Prix,OCO,1.0,2,0,0,0
Singapore Grand Prix,OCO,2.0,1,0,0,0
Singapore Grand Prix,OCO,3.0,7,0,0,0
Singapore Grand Prix,OCO,4.0,0,0,0,0
Singapore Grand Prix,OCO,5.0,0,0,0,0
Singapore Grand Prix,PER,1.0,2,0,0,0
Singapore Grand Prix,PER,2.0,0,0,0,0
Singapore Grand Prix,PER,3.0,1,0,0,0
Singapore Grand Prix,PER,4.0,0,0,0,0
Singapore Grand Prix,PER,5.0,6,0,0,0
Singapore Grand Prix,PIA,1.0,1,0,0,0
Singapore Grand Prix,PIA,2.0,0,0,0,0
Singapore Grand Prix,PIA,3.0,1,0,0,0
Singapore Grand Prix,PIA,4.0,1,0,0,0
Singapore Grand Prix,PIA,5.0,2,0,0,1
Singapore Grand Prix,PIA,6.0,6,0,0,0
Singapore Grand Prix,RIC,1.0,0,0,0,0
Singapore Grand Prix,RIC,2.0,1,0,0,0
Singapore Grand Prix,RIC,3.0,8,0,0,0
Singapore Grand Prix,RIC,4.0,0,0,0,0
Singapore Grand Prix,RUS,1.0,2,0,0,0
Singapore Grand Prix,RUS,2.0,1,0,0,0
Singapore Grand Prix,RUS,3.0,0,0,0,0
Singapore Grand Prix,RUS,4.0,0,0,0,0
Singapore Grand Prix,RUS,5.0,6,0,0,1
Singapore Grand Prix,RUS,6.0,0,0,0,0
Singapore Grand Prix,SAI,1.0,1,0,0,0
Singapore Grand Prix,SAI,2.0,1,0,0,0
Singapore Grand Prix,SAI,3.0,2,0,0,0
Singapore Grand Prix,SAI,4.0,6,0,0,0
Singapore Grand Prix,SAI,5.0,1,0,0,1
Singapore Grand Prix,STR,1.0,3,0,0,0
Singapore Grand Prix,STR,2.0,1,0,0,0
Singapore Grand Prix,STR,3.0,6,0,0,1
Singapore Grand Prix,STR,4.0,0,0,0,0
Singapore Grand Prix,STR,5.0,0,0,0,0
Singapore Grand Prix,STR,6.0,1,0,0,0
Singapore Grand Prix,TSU,1.0,2,0,0,0
Singapore Grand Prix,TSU,2.0,1,0,0,0
Singapore Grand Prix,TSU,3.0,7,0,0,0
Singapore Grand Prix,TSU,4.0,0,0,0,0
Singapore Grand Prix,TSU,5.0,1,0,0,1
Singapore Grand Prix,TSU,6.0,0,0,0,0
Singapore Grand Prix,VER,1.0,2,0,0,0
Singapore Grand Prix,VER,2.0,0,0,0,0
Singapore Grand Prix,VER,3.0,1,0,0,0
Singapore Grand Prix,VER,4.0,8,0,0,0
Singapore Grand Prix,VER,5.0,2,0,0,1
Singapore Grand Prix,VER,6.0,0,0,0,0
Singapore Grand Prix,ZHO,1.0,3,0,0,0
Singapore Grand Prix,ZHO,2.0,0,0,0,0
Singapore Grand Prix,ZHO,3.0,0,0,0,0
Singapore Grand Prix,ZHO,4.0,2,0,0,0
Singapore Grand Prix,ZHO,5.0,6,0,0,0
Singapore Grand Prix,ZHO,6.0,0,0,0,0
Spanish Grand Prix,ALB,1.0,0,0,0,0
Spanish Grand Prix,ALB,2.0,0,0,0,0
Spanish Grand Prix,ALB,3.0,0,0,0,1
Spanish Grand Prix,ALB,4.0,0,0,0,0
Spanish Grand Prix,ALB,5.0,0,0,0,0
Spanish Grand Prix,ALO,1.0,0,0,0,0
Spanish Grand Prix,ALO,2.0,0,0,0,0
Spanish Grand Prix,ALO,3.0,0,0,0,0
Spanish Grand Prix,ALO,4.0,0,0,0,0
Spanish Grand Prix,ALO,5.0,0,0,0,0
Spanish Grand Prix,ALO,6.0,0,0,0,0
Spanish Grand Prix,ALO,7.0,0,0,0,0
Spanish Grand Prix,BEA,1.0,0,0,0,0
Spanish Grand Prix,BEA,2.0,0,0,0,0
Spanish Grand Prix,BEA,3.0,0,0,0,1
Spanish Grand Prix,BEA,4.0,0,0,0,0
Spanish Grand Prix,BEA,5.0,0,0,0,0
Spanish Grand Prix,BOT,1.0,0,0,0,0
Spanish Grand Prix,BOT,2.0,0,0,0,0
Spanish Grand Prix,BOT,3.0,0,0,0,0
Spanish Grand Prix,BOT,4.0,0,0,0,0
Spanish Grand Prix,BOT,5.0,0,0,0,0
Spanish Grand Prix,BOT,6.0,0,0,0,0
Spanish Grand Prix,BOT,7.0,0,0,0,0
Spanish Grand Prix,GAS,1.0,0,0,0,0
Spanish Grand Prix,GAS,2.0,0,0,0,0
Spanish Grand Prix,GAS,3.0,0,0,0,0
Spanish Grand Prix,GAS,4.0,0,0,0,0
Spanish Grand Prix,GAS,5.0,0,0,0,0
Spanish Grand Prix,GAS,6.0,1,0,0,0
Spanish Grand Prix,HAM,1.0,0,0,0,0
Spanish Grand Prix,HAM,2.0,0,0,0,0
Spanish Grand Prix,HAM,3.0,0,0,0,0
Spanish Grand Prix,HAM,4.0,0,0,0,1
Spanish Grand Prix,HAM,5.0,0,0,0,0
Spanish Grand Prix,HAM,6.0,1,0,0,0
Spanish Grand Prix,HAM,7.0,0,0,0,0
Spanish Grand Prix,HUL,1.0,0,0,0,0
Spanish Grand Prix,HUL,2.0,0,0,0,0
Spanish Grand Prix,HUL,3.0,0,0,0,0
Spanish Grand Prix,HUL,4.0,0,0,0,0
Spanish Grand Prix,LEC,1.0,0,0,0,0
Spanish Grand Prix,LEC,2.0,0,0,0,0
Spanish Grand Prix,LEC,3.0,0,0,0,0
Spanish Grand Prix,LEC,4.0,1,0,0,1
Spanish Grand Prix,LEC,5.0,0,0,0,0
Spanish Grand Prix,LEC,6.0,0,0,0,0
Spanish Grand Prix,LEC,7.0,0,0,0,0
Spanish Grand Prix,MAG,1.0,0,0,0,0
Spanish Grand Prix,MAG,2.0,0,0,0,0
Spanish Grand Prix,MAG,3.0,0,0,0,0
Spanish Grand Prix,MAG,4.0,0,0,0,1
Spanish Grand Prix,MAG,5.0,0,0,0,0
Spanish Grand Prix,MAG,6.0,0,0,0,0
Spanish Grand Prix,NOR,1.0,0,0,0,0
Spanish Grand Prix,NOR,2.0,0,0,0,0
Spanish Grand Prix,NOR,3.0,0,0,0,0
Spanish Grand Prix,NOR,4.0,1,0,0,0
Spanish Grand Prix,NOR,5.0,0,0,0,0
Spanish Grand Prix,OCO,1.0,0,0,0,0
Spanish Grand Prix,OCO,2.0,0,0,0,0
Spanish Grand Prix,OCO,3.0,0,0,0,1
Spanish Grand Prix,OCO,4.0,0,0,0,0
Spanish Grand Prix,OCO,5.0,0,0,0,0
Spanish Grand Prix,OCO,6.0,1,0,0,0
Spanish Grand Prix,PER,1.0,0,0,0,0
Spanish Grand Prix,PER,2.0,0,0,0,0
Spanish Grand Prix,PER,3.0,0,0,0,0
Spanish Grand Prix,PER,4.0,0,0,0,0
Spanish Grand Prix,PER,5.0,0,0,0,0
Spanish Grand Prix,PER,6.0,1,0,0,0
Spanish Grand Prix,PIA,1.0,0,0,0,0
Spanish Grand Prix,PIA,2.0,0,0,0,0
Spanish Grand Prix,PIA,3.0,0,0,0,0
Spanish Grand Prix,PIA,4.0,0,0,0,1
Spanish Grand Prix,PIA,5.0,0,0,0,0
Spanish Grand Prix,PIA,6.0,1,0,0,0
Spanish Grand Prix,PIA,7.0,0,0,0,0
Spanish Grand Prix,RIC,1.0,0,0,0,0
Spanish Grand Prix,RIC,2.0,0,0,0,0
Spanish Grand Prix,RIC,3.0,0,0,0,1
Spanish Grand Prix,RIC,4.0,0,0,0,0
Spanish Grand Prix,RIC,5.0,0,0,0,0
Spanish Grand Prix,RIC,6.0,0,0,0,0
Spanish Grand Prix,RUS,1.0,0,0,0,0
Spanish Grand Prix,RUS,2.0,0,0,0,0
Spanish Grand Prix,RUS,3.0,0,0,0,1
Spanish Grand Prix,RUS,4.0,0,0,0,0
Spanish Grand Prix,RUS,5.0,0,0,0,0
Spanish Grand Prix,RUS,6.0,1,0,0,0
Spanish Grand Prix,SAI,1.0,0,0,0,0
Spanish Grand Prix,SAI,2.0,0,0,0,0
Spanish Grand Prix,SAI,3.0,0,0,0,0
Spanish Grand Prix,SAI,4.0,1,0,0,0
Spanish Grand Prix,SAI,5.0,0,0,0,0
Spanish Grand Prix,SAR,1.0,0,0,0,0
Spanish Grand Prix,SAR,2.0,0,0,0,0
Spanish Grand Prix,SAR,3.0,0,0,0,0
Spanish Grand Prix,SAR,4.0,0,0,0,1
Spanish Grand Prix,SAR,5.0,0,0,0,0
Spanish Grand Prix,SAR,6.0,0,0,0,0
Spanish Grand Prix,STR,1.0,0,0,0,0
Spanish Grand Prix,STR,2.0,0,0,0,0
Spanish Grand Prix,STR,3.0,0,0,0,0
Spanish Grand Prix,STR,4.0,0,0,0,0
Spanish Grand Prix,STR,5.0,0,0,0,0
Spanish Grand Prix,TSU,1.0,0,0,0,0
Spanish Grand Prix,TSU,2.0,0,0,0,0
Spanish Grand Prix,TSU,3.0,0,0,0,1
Spanish Grand Prix,TSU,4.0,0,0,0,0
Spanish Grand Prix,TSU,5.0,0,0,0,0
Spanish Grand Prix,VER,1.0,0,0,0,0
Spanish Grand Prix,VER,2.0,0,0,0,0
Spanish Grand Prix,VER,3.0,0,0,0,0
Spanish Grand Prix,VER,4.0,1,0,0,0
Spanish Grand Prix,VER,5.0,0,0,0,0
Spanish Grand Prix,VER,6.0,0,0,0,0
Spanish Grand Prix,ZHO,1.0,0,0,0,0
Spanish Grand Prix,ZHO,2.0,0,0,0,0
Spanish Grand Prix,ZHO,3.0,0,0,0,0
Spanish Grand Prix,ZHO,4.0,0,0,0,1
Spanish Grand Prix,ZHO,5.0,0,0,0,0
Spanish Grand Prix,ZHO,6.0,0,0,0,0
São Paulo Grand Prix,ALB,1.0,4,0,0,1
São Paulo Grand Prix,ALB,2.0,1,0,0,0
São Paulo Grand Prix,ALB,3.0,0,0,0,0
São Paulo Grand Prix,ALB,4.0,2,0,0,1
São Paulo Grand Prix,ALB,5.0,2,0,0,1
São Paulo Grand Prix,ALB,6.0,1,0,0,1
São Paulo Grand Prix,ALB,7.0,2,0,0,1
São Paulo Grand Prix,ALB,8.0,0,0,0,0
São Paulo Grand Prix,ALO,1.0,9,0,1,1
São Paulo Grand Prix,ALO,2.0,1,3,1,1
São Paulo Grand Prix,ALO,3.0,6,4,0,0
São Paulo Grand Prix,ALO,4.0,2,0,0,1
São Paulo Grand Prix,ALO,5.0,1,0,0,1
São Paulo Grand Prix,ALO,6.0,1,0,0,1
São Paulo Grand Prix,BEA,1.0,8,0,1,1
São Paulo Grand Prix,BEA,2.0,1,3,1,1
São Paulo Grand Prix,BEA,3.0,7,4,0,0
São Paulo Grand Prix,BEA,4.0,0,0,0,0
São Paulo Grand Prix,BEA,5.0,0,0,0,0
São Paulo Grand Prix,BEA,6.0,0,0,0,0
São Paulo Grand Prix,BOT,1.0,7,3,2,1
São Paulo Grand Prix,BOT,2.0,10,4,0,1
São Paulo Grand Prix,BOT,3.0,1,0,0,0
São Paulo Grand Prix,BOT,4.0,0,0,0,0
São Paulo Grand Prix,BOT,5.0,3,0,0,1
São Paulo Grand Prix,BOT,6.0,1,0,0,1
São Paulo Grand Prix,COL,1.0,8,0,0,1
São Paulo Grand Prix,COL,2.0,1,2,2,0
São Paulo Grand Prix,COL,3.0,0,0,0,0
São Paulo Grand Prix,COL,4.0,0,0,0,0
São Paulo Grand Prix,COL,5.0,0,0,0,0
São Paulo Grand Prix,COL,6.0,0,0,0,0
São Paulo Grand Prix,COL,7.0,0,0,0,0
São Paulo Grand Prix,COL,8.0,0,0,0,0
São Paulo Grand Prix,GAS,1.0,10,3,2,2
São Paulo Grand Prix,GAS,2.0,11,4,0,0
São Paulo Grand Prix,GAS,3.0,0,0,0,0
São Paulo Grand Prix,GAS,4.0,2,0,0,1
São Paulo Grand Prix,GAS,5.0,1,0,0,1
São Paulo Grand Prix,HAM,1.0,9,0,1,1
São Paulo Grand Prix,HAM,2.0,1,3,1,1
São Paulo Grand Prix,HAM,3.0,7,4,0,0
São Paulo Grand Prix,HUL,1.0,7,0,0,1
São Paulo Grand Prix,HUL,2.0,3,0,1,0
São Paulo Grand Prix,HUL,3.0,0,2,0,0
São Paulo Grand Prix,HUL,4.0,0,1,0,1
São Paulo Grand Prix,HUL,5.0,0,0,0,0
São Paulo Grand Prix,LAW,1.0,10,0,2,1
São Paulo Grand Prix,LAW,2.0,1,3,0,1
São Paulo Grand Prix,LAW,3.0,7,4,0,0
São Paulo Grand Prix,LAW,4.0,3,0,0,1
São Paulo Grand Prix,LAW,5.0,2,0,0,1
São Paulo Grand Prix,LAW,6.0,1,0,0,1
São Paulo Grand Prix,LAW,7.0,1,0,0,1
São Paulo Grand Prix,LAW,8.0,0,0,0,0
São Paulo Grand Prix,LEC,1.0,9,0,0,1
São Paulo Grand Prix,LEC,2.0,3,3,2,1
São Paulo Grand Prix,LEC,3.0,8,4,0,0
São Paulo Grand Prix,LEC,4.0,2,0,0,1
São Paulo Grand Prix,LEC,5.0,2,0,0,1
São Paulo Grand Prix,LEC,6.0,1,0,0,1
São Paulo Grand Prix,LEC,7.0,1,0,0,1
São Paulo Grand Prix,LEC,8.0,0,0,0,0
São Paulo Grand Prix,NOR,1.0,10,0,1,1
São Paulo Grand Prix,NOR,2.0,1,3,0,1
São Paulo Grand Prix,NOR,3.0,7,4,0,0
São Paulo Grand Prix,NOR,4.0,2,0,0,1
São Paulo Grand Prix,NOR,5.0,2,0,0,1
São Paulo Grand Prix,NOR,6.0,1,0,0,1
São Paulo Grand Prix,NOR,7.0,2,0,0,1
São Paulo Grand Prix,NOR,8.0,0,0,0,0
São Paulo Grand Prix,OCO,1.0,11,3,2,2
São Paulo Grand Prix,OCO,2.0,10,4,0,0
São Paulo Grand Prix,OCO,3.0,0,0,0,0
São Paulo Grand Prix,OCO,4.0,2,0,0,1
São Paulo Grand Prix,OCO,5.0,1,0,0,1
São Paulo Grand Prix,OCO,6.0,1,0,0,1
São Paulo Grand Prix,OCO,7.0,1,0,0,1
São Paulo Grand Prix,OCO,8.0,0,0,0,0
São Paulo Grand Prix,PER,1.0,9,0,1,1
São Paulo Grand Prix,PER,2.0,1,3,1,1
São Paulo Grand Prix,PER,3.0,7,4,0,0
São Paulo Grand Prix,PER,4.0,2,0,0,1
São Paulo Grand Prix,PER,5.0,1,0,0,1
São Paulo Grand Prix,PER,6.0,0,0,0,0
São Paulo Grand Prix,PIA,1.0,10,0,1,1
São Paulo Grand Prix,PIA,2.0,1,3,1,1
São Paulo Grand Prix,PIA,3.0,9,4,0,1
São Paulo Grand Prix,PIA,4.0,2,0,0,1
São Paulo Grand Prix,PIA,5.0,1,0,0,1
São Paulo Grand Prix,PIA,6.0,1,0,0,1
São Paulo Grand Prix,PIA,7.0,0,0,0,0
São Paulo Grand Prix,RUS,1.0,10,0,1,1
São Paulo Grand Prix,RUS,2.0,1,3,1,1
São Paulo Grand Prix,RUS,3.0,7,4,0,0
São Paulo Grand Prix,RUS,4.0,3,0,0,1
São Paulo Grand Prix,RUS,5.0,1,0,0,1
São Paulo Grand Prix,RUS,6.0,1,0,0,1
São Paulo Grand Prix,RUS,7.0,2,0,0,1
São Paulo Grand Prix,RUS,8.0,0,0,0,0
São Paulo Grand Prix,SAI,1.0,9,0,1,1
São Paulo Grand Prix,SAI,2.0,1,3,1,1
São Paulo Grand Prix,SAI,3.0,4,1,0,0
São Paulo Grand Prix,SAI,4.0,2,0,0,1
São Paulo Grand Prix,SAI,5.0,0,0,0,0
São Paulo Grand Prix,STR,1.0,4,0,0,1
São Paulo Grand Prix,STR,2.0,1,0,0,0
São Paulo Grand Prix,STR,3.0,0,0,0,0
São Paulo Grand Prix,STR,4.0,3,0,0,1
São Paulo Grand Prix,STR,5.0,1,0,0,1
São Paulo Grand Prix,TSU,1.0,10,0,2,1
São Paulo Grand Prix,TSU,2.0,1,3,0,1
São Paulo Grand Prix,TSU,3.0,7,4,0,0
São Paulo Grand Prix,TSU,4.0,2,0,0,1
São Paulo Grand Prix,TSU,5.0,2,0,0,1
São Paulo Grand Prix,TSU,6.0,1,0,0,1
São Paulo Grand Prix,TSU,7.0,1,0,0,1
São Paulo Grand Prix,TSU,8.0,0,0,0,0
São Paulo Grand Prix,VER,1.0,10,3,2,2
São Paulo Grand Prix,VER,2.0,9,4,0,0
São Paulo Grand Prix,VER,3.0,0,0,0,0
São Paulo Grand Prix,VER,4.0,2,0,0,1
São Paulo Grand Prix,VER,5.0,1,0,0,1
São Paulo Grand Prix,ZHO,1.0,10,0,1,1
São Paulo Grand Prix,ZHO,2.0,1,0,1,0
São Paulo Grand Prix,ZHO,3.0,0,3,0,1
São Paulo Grand Prix,ZHO,4.0,0,0,0,1
São Paulo Grand Prix,ZHO,5.0,7,4,0,0
United States Grand Prix,ALB,1.0,5,1,0,0
United States Grand Prix,ALB,2.0,1,2,0,0
United States Grand Prix,ALB,3.0,1,0,1,0
United States Grand Prix,ALB,4.0,0,0,0,0
United States Grand Prix,ALB,5.0,2,0,0,0
United States Grand Prix,ALO,1.0,4,3,0,0
United States Grand Prix,ALO,2.0,2,0,0,0
United States Grand Prix,ALO,3.0,2,0,0,0
United States Grand Prix,ALO,4.0,0,0,0,0
United States Grand Prix,ALO,5.0,0,0,1,0
United States Grand Prix,ALO,6.0,2,0,0,0
United States Grand Prix,BOT,1.0,4,3,0,0
United States Grand Prix,BOT,2.0,3,0,0,0
United States Grand Prix,BOT,3.0,0,0,0,0
United States Grand Prix,BOT,4.0,2,0,1,0
United States Grand Prix,COL,1.0,6,3,0,0
United States Grand Prix,COL,2.0,1,0,0,0
United States Grand Prix,COL,3.0,0,0,1,0
United States Grand Prix,COL,4.0,0,0,0,0
United States Grand Prix,COL,5.0,2,0,0,0
United States Grand Prix,GAS,1.0,5,3,0,0
United States Grand Prix,GAS,2.0,2,0,0,0
United States Grand Prix,GAS,3.0,2,0,1,0
United States Grand Prix,GAS,4.0,0,0,0,0
United States Grand Prix,GAS,5.0,0,0,0,0
United States Grand Prix,GAS,6.0,0,0,0,0
United States Grand Prix,GAS,7.0,1,0,0,0
United States Grand Prix,HAM,1.0,3,1,0,0
United States Grand Prix,HAM,2.0,1,0,0,0
United States Grand Prix,HAM,3.0,0,0,0,0
United States Grand Prix,HAM,4.0,2,0,1,0
United States Grand Prix,HUL,1.0,5,3,0,0
United States Grand Prix,HUL,2.0,2,0,0,0
United States Grand Prix,HUL,3.0,1,0,1,0
United States Grand Prix,HUL,4.0,0,0,0,0
United States Grand Prix,LAW,1.0,6,3,0,0
United States Grand Prix,LAW,2.0,1,0,0,0
United States Grand Prix,LAW,3.0,0,0,1,0
United States Grand Prix,LAW,4.0,2,0,0,0
United States Grand Prix,LAW,5.0,0,0,0,0
United States Grand Prix,LAW,6.0,0,0,0,0
United States Grand Prix,LEC,1.0,5,3,0,0
United States Grand Prix,LEC,2.0,1,0,0,0
United States Grand Prix,LEC,3.0,2,0,1,0
United States Grand Prix,LEC,4.0,0,0,0,0
United States Grand Prix,LEC,5.0,0,0,0,0
United States Grand Prix,LEC,6.0,1,0,0,0
United States Grand Prix,MAG,1.0,5,3,0,0
United States Grand Prix,MAG,2.0,1,0,0,0
United States Grand Prix,MAG,3.0,3,0,2,0
United States Grand Prix,MAG,4.0,0,0,0,0
United States Grand Prix,MAG,5.0,0,0,0,0
United States Grand Prix,MAG,6.0,1,0,0,0
United States Grand Prix,NOR,1.0,4,3,0,0
United States Grand Prix,NOR,2.0,2,0,0,0
United States Grand Prix,NOR,3.0,0,0,0,0
United States Grand Prix,NOR,4.0,2,0,1,0
United States Grand Prix,NOR,5.0,1,0,0,0
United States Grand Prix,OCO,1.0,6,3,0,0
United States Grand Prix,OCO,2.0,2,0,0,0
United States Grand Prix,OCO,3.0,2,0,1,0
United States Grand Prix,OCO,4.0,0,0,0,0
United States Grand Prix,OCO,5.0,0,0,0,0
United States Grand Prix,PER,1.0,6,3,0,0
United States Grand Prix,PER,2.0,1,0,0,0
United States Grand Prix,PER,3.0,0,0,0,0
United States Grand Prix,PER,4.0,2,0,1,0
United States Grand Prix,PER,5.0,0,0,0,0
United States Grand Prix,PER,6.0,1,0,0,0
United States Grand Prix,PIA,1.0,5,3,0,0
United States Grand Prix,PIA,2.0,2,0,0,0
United States Grand Prix,PIA,3.0,0,0,0,0
United States Grand Prix,PIA,4.0,2,0,1,0
United States Grand Prix,PIA,5.0,0,0,0,0
United States Grand Prix,PIA,6.0,1,0,0,0
United States Grand Prix,RUS,1.0,6,3,0,0
United States Grand Prix,RUS,2.0,1,0,0,0
United States Grand Prix,RUS,3.0,2,0,1,0
United States Grand Prix,RUS,4.0,0,0,0,0
United States Grand Prix,RUS,5.0,0,0,0,0
United States Grand Prix,RUS,6.0,0,0,0,0
United States Grand Prix,SAI,1.0,5,3,0,0
United States Grand Prix,SAI,2.0,1,0,0,0
United States Grand Prix,SAI,3.0,0,0,1,0
United States Grand Prix,SAI,4.0,2,0,0,0
United States Grand Prix,SAI,5.0,0,0,0,0
United States Grand Prix,SAI,6.0,1,0,0,0
United States Grand Prix,STR,1.0,4,3,0,0
United States Grand Prix,STR,2.0,4,0,0,0
United States Grand Prix,STR,3.0,0,0,0,0
United States Grand Prix,STR,4.0,1,0,1,0
United States Grand Prix,STR,5.0,0,0,0,0
United States Grand Prix,TSU,1.0,6,3,0,0
United States Grand Prix,TSU,2.0,1,0,0,0
United States Grand Prix,TSU,3.0,0,0,0,0
United States Grand Prix,TSU,4.0,0,0,1,0
United States Grand Prix,TSU,5.0,0,0,0,0
United States Grand Prix,VER,1.0,4,3,0,0
United States Grand Prix,VER,2.0,2,0,0,0
United States Grand Prix,VER,3.0,2,0,1,0
United States Grand Prix,VER,4.0,0,0,0,0
United States Grand Prix,VER,5.0,0,0,0,0
United States Grand Prix,VER,6.0,1,0,0,0
United States Grand Prix,ZHO,1.0,6,3,0,0
United States Grand Prix,ZHO,2.0,1,0,0,0
United States Grand Prix,ZHO,3.0,1,0,0,0
