Unnamed: 0,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,RoundNumber,EventName,Session,Date
0,0 days 00:00:44.852000,0.3846153846153846,0.23943661971830993,0.9610281923714767,False,0.44766146993318473,0.23333333333333334,0.5441176470588236,1,Bahrain Grand Prix,FP1,02-03-2024
1,0 days 00:01:44.867000,0.38888888888888884,0.23943661971830993,0.9601990049751246,False,0.44766146993318473,0.20277777777777778,0.5,1,Bahrain Grand Prix,FP1,02-03-2024
2,0 days 00:02:44.873000,0.3846153846153846,0.23943661971830993,0.9610281923714767,False,0.4498886414253896,0.2,0.6029411764705882,1,Bahrain Grand Prix,FP1,02-03-2024
3,0 days 00:03:44.889000,0.3846153846153846,0.23943661971830993,0.9610281923714767,False,0.4498886414253896,0.23055555555555557,0.5441176470588236,1,Bahrain Grand Prix,FP1,02-03-2024
4,0 days 00:04:44.894000,0.3846153846153846,0.23943661971830993,0.9606135986733007,False,0.4498886414253896,0.24722222222222223,0.5882352941176471,1,Bahrain Grand Prix,FP1,02-03-2024
5,0 days 00:05:44.894000,0.3803418803418803,0.23943661971830993,0.9606135986733007,False,0.45211581291759456,0.17777777777777778,0.5441176470588236,1,Bahrain Grand Prix,FP1,02-03-2024
6,0 days 00:06:44.888000,0.3803418803418803,0.23943661971830993,0.9610281923714767,False,0.44766146993318473,0.21666666666666667,0.4264705882352941,1,Bahrain Grand Prix,FP1,02-03-2024
7,0 days 00:07:44.905000,0.37606837606837606,0.23943661971830993,0.9606135986733007,False,0.44543429844098,0.19444444444444445,0.5735294117647058,1,Bahrain Grand Prix,FP1,02-03-2024
8,0 days 00:08:44.927000,0.37606837606837606,0.23943661971830993,0.9606135986733007,False,0.44543429844098,0.23055555555555557,0.4852941176470588,1,Bahrain Grand Prix,FP1,02-03-2024
9,0 days 00:09:44.935000,0.37606837606837606,0.25352112676056343,0.9610281923714767,False,0.44543429844098,0.2388888888888889,0.5588235294117647,1,Bahrain Grand Prix,FP1,02-03-2024
