Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,RoundNumber,EventName,Session,Date
0 days 00:49:45.087000,19.3,39,1016.1,FALSE,33.5,47,3.7,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:50:45.095000,19.2,39,1016,FALSE,33.5,53,3.8,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:51:45.085000,19.2,39,1016.1,FALSE,33.4,62,3.9,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:52:45.113000,19.2,40,1016.2,FALSE,33.3,64,3.4,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:53:45.126000,19.3,40,1016.1,FALSE,33.5,62,2.3,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:54:45.123000,19.4,40,1016,FALSE,33.6,72,3.3,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:55:45.123000,19.4,39,1016,FALSE,33.8,65,3.3,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:56:45.121000,19.4,38,1016,FALSE,33.8,54,2.9,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:57:45.129000,19.2,39,1015.9,FALSE,33.3,58,4.1,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:58:45.128000,19.2,40,1016,FALSE,33.3,78,3.3,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:59:45.124000,19.3,39,1016.1,FALSE,33.1,55,3.6,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:00:45.125000,19.3,39,1016.2,FALSE,33.4,64,3.4,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:01:45.125000,19.2,39,1016.1,FALSE,33.3,66,3.3,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:02:45.133000,19,38,1016.1,FALSE,33.3,58,3.1,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:03:45.123000,19.1,39,1016.1,FALSE,33.2,47,2.8,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:04:45.130000,19.2,39,1016.1,FALSE,33.2,59,3,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:05:45.130000,19.1,39,1016.1,FALSE,32.9,66,3.7,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:06:45.134000,19,40,1016.1,FALSE,32.8,69,3.8,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:07:45.125000,19.1,40,1016,FALSE,32.9,61,3.9,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:08:45.130000,19.1,39,1016.2,FALSE,32.8,88,4.1,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:09:45.139000,19.1,39,1016.1,FALSE,32.8,73,3.6,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:10:45.142000,19.1,40,1016.1,FALSE,32.8,87,3.1,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:11:45.159000,19.1,40,1016.1,FALSE,32.8,61,3.1,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:12:45.165000,19.2,40,1016.1,FALSE,32.7,44,3,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:13:45.187000,19.1,40,1016.1,FALSE,32.5,49,3.3,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:14:45.186000,19.3,38,1016.1,FALSE,32.6,84,2.8,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:15:45.188000,19.2,38,1016.1,FALSE,32.6,68,3.7,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:16:45.189000,19.2,37,1016.2,FALSE,32.6,80,3.4,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:17:45.192000,19.2,37,1016.3,FALSE,32.7,60,2.4,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:18:45.204000,19.2,39,1016.1,FALSE,32.5,66,4.2,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:19:45.207000,19,40,1016.2,FALSE,32,56,3.4,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:20:45.207000,19,40,1016.2,FALSE,31.9,70,3.8,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:21:45.208000,19,39,1016.3,FALSE,32.3,58,2.3,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:00:44.627000,17.1,46,1017,FALSE,23.4,95,2.5,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:01:44.644000,17.1,46,1017,FALSE,23.3,78,2.4,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:02:44.652000,17.2,46,1017.1,FALSE,23.2,104,1.8,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:03:44.680000,17.2,46,1017,FALSE,23.2,83,3.3,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:04:44.697000,17.1,45,1017,FALSE,23.2,134,2.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:05:44.682000,17.1,45,1017.1,FALSE,23.1,77,2.3,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:06:44.713000,17.1,45,1017.1,FALSE,23.1,54,3.2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:07:44.700000,17.1,45,1017,FALSE,23,67,2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:08:44.702000,17.1,45,1017.2,FALSE,23.1,81,2.1,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:09:44.713000,17.1,43,1017.1,FALSE,23,100,2.2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:10:44.708000,17.1,43,1017,FALSE,23,84,3,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:11:44.718000,17.1,42,1017.1,FALSE,22.9,95,2.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:12:44.717000,17.1,41,1017,FALSE,22.9,67,3.5,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:13:44.704000,17.2,41,1017,FALSE,22.8,84,2.5,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:14:44.713000,17.2,41,1017.1,FALSE,22.8,75,2.3,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:15:44.705000,17.2,40,1017.1,FALSE,22.7,62,2.7,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:16:44.731000,17.2,40,1017.1,FALSE,22.6,63,2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:17:44.774000,17.2,40,1017.1,FALSE,22.7,47,2.9,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:18:44.749000,17.2,40,1017.2,FALSE,22.7,82,2.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:19:44.742000,17.2,40,1017.2,FALSE,22.7,62,1.9,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:20:44.758000,17.2,41,1017.2,FALSE,22.7,82,2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:21:44.751000,17.2,41,1017.3,FALSE,22.7,62,1.9,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:22:44.757000,17.3,41,1017.1,FALSE,22.6,92,2.1,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:23:44.739000,17.3,41,1017.3,FALSE,22.6,67,2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:24:44.750000,17.2,41,1017.3,FALSE,22.6,99,1.4,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:25:44.752000,17.2,41,1017.2,FALSE,22.6,47,2.3,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:26:44.756000,17.2,41,1017.2,FALSE,22.5,63,2.3,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:27:44.749000,17.2,41,1017,FALSE,22.4,134,1.8,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:28:44.753000,17.2,42,1017.2,FALSE,22.4,105,2.4,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:29:44.759000,17.2,42,1017.2,FALSE,22.4,91,1.9,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:30:44.754000,17.2,42,1017.2,FALSE,22.4,54,1.4,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:31:44.760000,17.3,41,1017.3,FALSE,22.5,59,1.5,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:32:44.762000,17.2,41,1017.2,FALSE,22.3,134,1.9,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:33:44.750000,17.2,41,1017.2,FALSE,22.3,111,1.5,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:34:44.761000,17.2,40,1017.1,FALSE,22.3,86,2.5,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:35:44.748000,17.2,39,1017.1,FALSE,22.2,70,2.4,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:36:44.761000,17.3,39,1017.1,FALSE,22.2,89,2.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:37:44.760000,17.2,39,1017.2,FALSE,22.1,85,2.1,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:38:44.763000,17.2,39,1017.1,FALSE,22.1,99,3.2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:39:44.764000,17.2,38,1017.2,FALSE,22.1,102,2.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:40:44.753000,17.2,38,1017.3,FALSE,22,95,2.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:41:44.764000,17.3,38,1017.2,FALSE,22,71,2.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:42:44.752000,17.3,38,1017.3,FALSE,22,65,2.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:43:44.758000,17.3,38,1017.3,FALSE,22,61,2.5,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:44:44.755000,17.3,37,1017.3,FALSE,22,65,2.5,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:45:44.779000,17.2,37,1017.3,FALSE,21.8,73,2.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:46:44.766000,17.2,36,1017.3,FALSE,21.9,68,2.2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:47:44.799000,17.3,36,1017.2,FALSE,22,81,1.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:48:44.838000,17.3,36,1017.3,FALSE,22,80,1.9,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:49:44.785000,17.3,36,1017.2,FALSE,21.9,102,2.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:50:44.788000,17.3,37,1017.2,FALSE,21.8,70,2.3,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:51:44.788000,17.3,37,1017.3,FALSE,21.9,73,2.2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:52:44.782000,17.3,37,1017.3,FALSE,21.9,101,1.5,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:53:44.805000,17.2,37,1017.3,FALSE,21.8,118,1.8,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:54:44.806000,17.2,37,1017.2,FALSE,21.7,84,2.1,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:55:44.802000,17.3,37,1017.2,FALSE,21.6,101,2.4,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:56:44.822000,17.3,37,1017.3,FALSE,21.5,67,3.2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:57:44.840000,17.2,37,1017.2,FALSE,21.5,92,2.8,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:58:44.855000,17.3,37,1017.2,FALSE,21.5,92,2.8,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:59:44.859000,17.3,37,1017.2,FALSE,21.4,111,3.1,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:00:44.863000,17.3,37,1017.3,FALSE,21.4,65,2.3,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:01:44.878000,17.3,38,1017.3,FALSE,21.5,110,1.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:02:44.897000,17.3,38,1017.3,FALSE,21.5,86,2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:03:44.900000,17.4,37,1017.2,FALSE,21.5,94,2.2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:04:44.903000,17.4,37,1017.3,FALSE,21.5,95,2.2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:05:44.902000,17.4,37,1017.3,FALSE,21.4,59,2.5,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:06:44.902000,17.4,36,1017.4,FALSE,21.5,105,2.8,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:07:44.905000,17.3,34,1017.4,FALSE,21.3,75,3,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:08:44.893000,17.4,34,1017.3,FALSE,21.3,88,2.9,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:09:44.909000,17.3,34,1017.4,FALSE,21.3,76,2.7,1,Bahrain Grand Prix,FP2,02-03-2024
