GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp,FreshTyre,RaceProgress,YellowLaps,SCLaps,VSCLaps,RedFlagLaps
Abu Dhabi Grand Prix,ALB,1,MEDIUM,12,26.875,31.766666666666666,1,0.0172413793103448,3,0,2,0
Abu Dhabi Grand Prix,ALB,2,HARD,45,26.288888888888888,30.377777777777776,1,0.2241379310344827,2,0,0,0
Abu Dhabi Grand Prix,ALO,1,MEDIUM,14,26.87692307692308,31.72307692307692,0,0.0172413793103448,3,0,2,0
Abu Dhabi Grand Prix,ALO,2,HARD,25,26.504166666666663,30.89583333333333,0,0.2413793103448276,2,0,0,0
Abu Dhabi Grand Prix,ALO,3,HARD,22,26.014285714285712,29.704761904761902,0,0.6551724137931034,3,0,0,0
Abu Dhabi Grand Prix,BOT,1,MEDIUM,6,26.9,31.883333333333336,1,0.0172413793103448,5,0,2,0
Abu Dhabi Grand Prix,BOT,2,HARD,23,26.65217391304348,31.230434782608693,1,0.1206896551724138,2,0,0,0
Abu Dhabi Grand Prix,COL,1,MEDIUM,3,26.933333333333334,31.933333333333337,1,0.0172413793103448,4,0,2,0
Abu Dhabi Grand Prix,COL,2,HARD,23,26.713043478260868,31.321739130434786,1,0.0689655172413793,1,0,0,0
Abu Dhabi Grand Prix,DOO,1,MEDIUM,22,26.79090909090909,31.55,1,0.0172413793103448,3,0,2,0
Abu Dhabi Grand Prix,DOO,2,HARD,35,26.18,30.111428571428576,1,0.396551724137931,5,0,0,0
Abu Dhabi Grand Prix,GAS,1,MEDIUM,14,26.87857142857143,31.678571428571427,1,0.0172413793103448,3,0,2,0
Abu Dhabi Grand Prix,GAS,2,HARD,44,26.26363636363636,30.33181818181818,1,0.2586206896551724,5,0,0,0
Abu Dhabi Grand Prix,HAM,1,HARD,34,26.66176470588235,31.27058823529412,1,0.0172413793103448,5,0,2,0
Abu Dhabi Grand Prix,HAM,2,MEDIUM,25,26.054166666666664,29.8125,0,0.603448275862069,2,0,0,0
Abu Dhabi Grand Prix,HUL,1,MEDIUM,13,26.884615384615383,31.700000000000003,1,0.0172413793103448,4,0,2,0
Abu Dhabi Grand Prix,HUL,2,HARD,45,26.27555555555556,30.35333333333333,1,0.2413793103448276,3,0,0,0
Abu Dhabi Grand Prix,LAW,1,MEDIUM,23,26.782608695652176,31.530434782608697,1,0.0172413793103448,3,0,2,0
Abu Dhabi Grand Prix,LAW,2,HARD,1,26.5,30.9,1,0.4137931034482758,1,0,0,0
Abu Dhabi Grand Prix,LAW,3,HARD,6,26.44,30.8,0,0.4310344827586206,2,0,0,0
