GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp
Austrian Grand Prix,NOR,1,MEDIUM,2,26.77857142857143,44.15714285714286
Austrian Grand Prix,NOR,2,MEDIUM,14,24.376470588235293,37.10588235294117
Austrian Grand Prix,NOR,3,HARD,27,23.490909090909092,34.08787878787879
Austrian Grand Prix,NOR,4,HARD,30,23.141176470588235,32.794117647058826
Austrian Grand Prix,OCO,1,MEDIUM,2,25.666666666666668,42.01666666666667
Austrian Grand Prix,OCO,2,MEDIUM,14,25.412,39.8
Austrian Grand Prix,OCO,3,HARD,26,24.5625,37.37
Austrian Grand Prix,OCO,4,HARD,30,23.13823529411765,32.794117647058826
Austrian Grand Prix,PER,1,MEDIUM,2,26.0875,41.8375
Austrian Grand Prix,PER,2,MEDIUM,25,24.138709677419353,36.59032258064516
Austrian Grand Prix,PER,3,MEDIUM,25,24.347368421052632,36.66315789473684
Austrian Grand Prix,PER,4,HARD,21,23.724999999999998,33.871428571428574
Austrian Grand Prix,PIA,1,MEDIUM,2,26.518181818181816,43.33636363636364
Austrian Grand Prix,PIA,2,MEDIUM,14,25.372,39.38
Austrian Grand Prix,PIA,3,HARD,8,24.706666666666667,36.79333333333333
Austrian Grand Prix,PIA,4,HARD,19,23.395652173913046,33.93913043478261
Austrian Grand Prix,PIA,5,MEDIUM,29,23.94473684210526,35.25
Austrian Grand Prix,RUS,1,MEDIUM,2,26.66923076923077,43.900000000000006
Austrian Grand Prix,RUS,2,MEDIUM,14,25.677777777777777,40.55555555555556
Austrian Grand Prix,RUS,3,HARD,27,23.274193548387096,33.62903225806452
Austrian Grand Prix,RUS,4,MEDIUM,30,23.13529411764706,32.79705882352941
Austrian Grand Prix,SAI,1,MEDIUM,2,27.126315789473683,45.05789473684211
Austrian Grand Prix,SAI,2,MEDIUM,15,24.68095238095238,37.43333333333334
Austrian Grand Prix,SAI,3,MEDIUM,30,23.450000000000003,34.24166666666667
Austrian Grand Prix,SAI,4,HARD,26,23.243333333333332,33.00666666666667
Austrian Grand Prix,SAR,1,MEDIUM,2,27.294117647058822,45.00588235294118
Austrian Grand Prix,SAR,2,MEDIUM,14,23.88,35.72
Austrian Grand Prix,SAR,3,HARD,29,23.059375,33.084375
Austrian Grand Prix,SAR,4,HARD,27,23.49375,33.953125
Austrian Grand Prix,STR,1,MEDIUM,2,26.369999999999997,42.9
Austrian Grand Prix,STR,2,MEDIUM,15,24.415,36.635000000000005
Austrian Grand Prix,STR,3,HARD,21,23.862068965517242,34.93448275862069
Austrian Grand Prix,STR,4,HARD,18,24.185185185185187,36.048148148148144
Austrian Grand Prix,STR,5,MEDIUM,17,24.150000000000002,35.38333333333333
Austrian Grand Prix,TSU,1,MEDIUM,1,26.939999999999998,43.89
Austrian Grand Prix,TSU,2,HARD,1,27.200000000000003,44.24444444444444
Austrian Grand Prix,TSU,3,HARD,22,24.855882352941176,38.58529411764706
Austrian Grand Prix,TSU,4,HARD,20,24.228571428571428,36.48571428571429
Austrian Grand Prix,TSU,5,MEDIUM,27,22.6,31.3962962962963
Austrian Grand Prix,VER,1,MEDIUM,2,26.35,42.81
Austrian Grand Prix,VER,2,MEDIUM,24,23.982758620689655,35.86551724137931
Austrian Grand Prix,VER,3,HARD,25,24.339473684210525,36.63157894736842
Austrian Grand Prix,VER,4,MEDIUM,20,24.223333333333336,35.39666666666667
Austrian Grand Prix,VER,5,SOFT,5,24.35,34.425
Austrian Grand Prix,ZHO,1,MEDIUM,2,26.675,44.175000000000004
Austrian Grand Prix,ZHO,2,MEDIUM,8,24.344444444444445,36.68888888888889
Austrian Grand Prix,ZHO,3,HARD,30,24.242857142857144,36.61904761904762
Austrian Grand Prix,ZHO,4,HARD,32,23.35135135135135,33.597297297297295
Azerbaijan Grand Prix,ALB,1,MEDIUM,7,22.526666666666664,42.85333333333333
Azerbaijan Grand Prix,ALB,2,HARD,44,24.704166666666666,40.36875
Azerbaijan Grand Prix,ALO,1,MEDIUM,10,22.938888888888886,42.72777777777778
Azerbaijan Grand Prix,ALO,2,HARD,40,24.697727272727274,40.27727272727273
Azerbaijan Grand Prix,BOT,1,MEDIUM,6,22.37857142857143,42.857142857142854
Azerbaijan Grand Prix,BOT,2,HARD,6,22.98,43.53
Azerbaijan Grand Prix,BOT,3,HARD,22,23.982758620689655,41.189655172413794
Azerbaijan Grand Prix,BOT,4,MEDIUM,16,24.549999999999997,36.62777777777777
Azerbaijan Grand Prix,DEV,1,HARD,9,23.0125,43.05
Azerbaijan Grand Prix,GAS,1,MEDIUM,5,22.333333333333332,42.75833333333333
Azerbaijan Grand Prix,GAS,2,HARD,18,25.10625,41.85
Azerbaijan Grand Prix,GAS,3,HARD,28,25.275000000000002,38.596428571428575
Azerbaijan Grand Prix,HAM,1,MEDIUM,9,23.384615384615383,41.684615384615384
Azerbaijan Grand Prix,HAM,2,HARD,42,25.274358974358975,39.57179487179487
Azerbaijan Grand Prix,HUL,1,HARD,49,24.418181818181818,40.64363636363637
Azerbaijan Grand Prix,HUL,2,SOFT,1,20.85,38.95
Azerbaijan Grand Prix,LEC,1,MEDIUM,10,23.15294117647059,42.976470588235294
Azerbaijan Grand Prix,LEC,2,HARD,40,24.86904761904762,40.05238095238095
Azerbaijan Grand Prix,MAG,1,MEDIUM,10,22.778947368421054,42.45789473684211
Azerbaijan Grand Prix,MAG,2,HARD,41,25.24871794871795,39.47948717948718
Azerbaijan Grand Prix,NOR,1,MEDIUM,9,22.841176470588238,42.71176470588235
Azerbaijan Grand Prix,NOR,2,HARD,42,24.693333333333335,40.29111111111111
Azerbaijan Grand Prix,OCO,1,HARD,50,24.652830188679243,40.46415094339623
Azerbaijan Grand Prix,OCO,2,SOFT,1,24.6,34.8
Azerbaijan Grand Prix,PER,1,MEDIUM,10,23.466666666666665,42.806666666666665
Azerbaijan Grand Prix,PER,2,HARD,40,24.790697674418606,40.20232558139535
Azerbaijan Grand Prix,PIA,1,MEDIUM,8,22.80666666666667,42.68
Azerbaijan Grand Prix,PIA,2,HARD,43,24.780434782608697,40.23913043478261
Azerbaijan Grand Prix,RUS,1,MEDIUM,10,22.97222222222222,42.72777777777778
Azerbaijan Grand Prix,RUS,2,HARD,38,24.97948717948718,40.148717948717945
Azerbaijan Grand Prix,RUS,3,SOFT,2,21.05,36.1125
Azerbaijan Grand Prix,SAI,1,MEDIUM,10,23.13529411764706,43.01764705882353
Azerbaijan Grand Prix,SAI,2,HARD,40,24.693181818181817,40.26363636363636
Azerbaijan Grand Prix,SAR,1,MEDIUM,8,22.84,42.64666666666667
Azerbaijan Grand Prix,SAR,2,HARD,43,24.778260869565216,40.22391304347826
Azerbaijan Grand Prix,STR,1,MEDIUM,10,22.950000000000003,42.71111111111111
Azerbaijan Grand Prix,STR,2,HARD,43,24.697727272727274,40.25909090909091
Azerbaijan Grand Prix,TSU,1,MEDIUM,8,23.572727272727274,42.02727272727273
Azerbaijan Grand Prix,TSU,2,HARD,43,24.53125,39.63333333333333
Azerbaijan Grand Prix,VER,1,MEDIUM,10,23.2875,42.9125
Azerbaijan Grand Prix,VER,2,HARD,41,24.790697674418606,40.20232558139535
Azerbaijan Grand Prix,ZHO,1,MEDIUM,10,22.950000000000003,42.73888888888889
Azerbaijan Grand Prix,ZHO,2,HARD,25,24.451724137931034,41.8448275862069
Bahrain Grand Prix,ALB,1,SOFT,11,26.194117647058825,30.7
Bahrain Grand Prix,ALB,2,SOFT,15,26.508000000000003,32.384
Bahrain Grand Prix,ALB,3,HARD,14,26.164,31.576
Bahrain Grand Prix,ALB,4,SOFT,17,24.82857142857143,28.985714285714284
Bahrain Grand Prix,ALO,1,SOFT,17,26.2448275862069,32.54482758620689
Bahrain Grand Prix,ALO,2,HARD,20,26.27741935483871,31.541935483870965
Bahrain Grand Prix,ALO,3,HARD,23,26.4,31.296875
Bahrain Grand Prix,BOT,1,SOFT,11,25.833333333333332,30.81904761904762
Bahrain Grand Prix,BOT,2,HARD,18,26.839285714285715,33.13928571428571
Bahrain Grand Prix,BOT,3,HARD,28,26.24,29.92571428571429
Bahrain Grand Prix,DEV,1,SOFT,11,26.05652173913043,32.23913043478261
Bahrain Grand Prix,DEV,2,HARD,16,26.32903225806452,32.29677419354839
Bahrain Grand Prix,DEV,3,HARD,29,25.595744680851062,29.96382978723404
Bahrain Grand Prix,GAS,1,SOFT,9,26.3125,33.4625
Bahrain Grand Prix,GAS,2,HARD,16,26.236,31.28
Bahrain Grand Prix,GAS,3,HARD,15,25.42,30.97714285714286
Bahrain Grand Prix,GAS,4,SOFT,17,26.341176470588238,28.98235294117647
Bahrain Grand Prix,HAM,1,SOFT,15,26.658823529411762,31.670588235294115
Bahrain Grand Prix,HAM,2,HARD,18,26.319230769230767,30.930769230769233
Bahrain Grand Prix,HAM,3,HARD,27,26.35945945945946,30.87297297297297
Bahrain Grand Prix,HUL,1,SOFT,14,26.58823529411765,32.11764705882353
Bahrain Grand Prix,HUL,2,HARD,15,26.945945945945947,35.097297297297295
Bahrain Grand Prix,HUL,3,HARD,14,25.857142857142858,32.511428571428574
Bahrain Grand Prix,HUL,4,SOFT,19,25.02962962962963,28.42222222222222
Bahrain Grand Prix,LEC,1,SOFT,13,26.855555555555554,32.34444444444445
Bahrain Grand Prix,LEC,2,HARD,20,26.451851851851853,30.98148148148148
Bahrain Grand Prix,LEC,3,HARD,6,26.083333333333332,31.766666666666666
Bahrain Grand Prix,MAG,1,HARD,15,26.337500000000002,31.391666666666666
Bahrain Grand Prix,MAG,2,HARD,14,26.738235294117647,34.40294117647059
Bahrain Grand Prix,MAG,3,SOFT,11,25.946428571428573,33.017857142857146
Bahrain Grand Prix,MAG,4,SOFT,16,26.34375,28.98125
Bahrain Grand Prix,NOR,1,SOFT,10,26.571428571428573,33.74761904761905
Bahrain Grand Prix,NOR,2,HARD,7,26.313333333333333,32.44
Bahrain Grand Prix,NOR,3,SOFT,13,24.99642857142857,30.207142857142856
Bahrain Grand Prix,NOR,4,MEDIUM,10,25.653846153846153,32.034615384615385
Bahrain Grand Prix,NOR,5,HARD,10,25.958333333333332,28.941666666666666
Bahrain Grand Prix,NOR,6,SOFT,11,26.285714285714285,28.885714285714283
Bahrain Grand Prix,NOR,7,SOFT,7,26.3,28.7
Bahrain Grand Prix,OCO,1,SOFT,15,26.386363636363637,31.972727272727273
Bahrain Grand Prix,OCO,2,HARD,3,25.553333333333335,33.32
Bahrain Grand Prix,OCO,3,HARD,20,25.613953488372093,31.66046511627907
Bahrain Grand Prix,OCO,4,HARD,9,26.00909090909091,29.127272727272725
Bahrain Grand Prix,PER,1,SOFT,20,26.845454545454547,31.95909090909091
Bahrain Grand Prix,PER,2,SOFT,19,26.451999999999998,31.404
Bahrain Grand Prix,PER,3,HARD,23,26.226666666666667,30.41
Bahrain Grand Prix,PIA,1,SOFT,13,26.726923076923075,33.96923076923077
Bahrain Grand Prix,RUS,1,SOFT,16,26.392592592592592,33.214814814814815
Bahrain Grand Prix,RUS,2,HARD,18,26.32,30.872
Bahrain Grand Prix,RUS,3,HARD,26,25.71875,30.733333333333334
Bahrain Grand Prix,SAI,1,SOFT,16,26.885,33.255
Bahrain Grand Prix,SAI,2,HARD,18,26.412,31.06
Bahrain Grand Prix,SAI,3,HARD,26,26.23548387096774,29.74516129032258
Bahrain Grand Prix,SAR,1,SOFT,12,26.205000000000002,31.055
Bahrain Grand Prix,SAR,2,SOFT,18,26.334375,32.321875
Bahrain Grand Prix,SAR,3,HARD,10,25.98421052631579,31.68421052631579
Bahrain Grand Prix,SAR,4,SOFT,16,25.126829268292685,30.70731707317073
Bahrain Grand Prix,STR,1,SOFT,18,26.417857142857144,32.31071428571429
Bahrain Grand Prix,STR,2,HARD,15,26.09642857142857,31.967857142857145
Bahrain Grand Prix,STR,3,HARD,27,26.365714285714283,30.55142857142857
Bahrain Grand Prix,TSU,1,SOFT,10,26.420689655172417,34.40689655172414
Bahrain Grand Prix,TSU,2,HARD,16,26.044,30.728
Bahrain Grand Prix,TSU,3,HARD,14,25.13823529411765,30.029411764705884
Bahrain Grand Prix,TSU,4,SOFT,20,26.07894736842105,28.847368421052632
Bahrain Grand Prix,VER,1,SOFT,17,26.83181818181818,32.70909090909091
Bahrain Grand Prix,VER,2,SOFT,22,26.43793103448276,30.7
Bahrain Grand Prix,VER,3,HARD,21,25.11081081081081,29.024324324324326
Bahrain Grand Prix,ZHO,1,SOFT,12,26.10454545454546,31.4
Bahrain Grand Prix,ZHO,2,HARD,20,26.793333333333333,32.79666666666667
Bahrain Grand Prix,ZHO,3,SOFT,25,26.237037037037037,29.82962962962963
Bahrain Grand Prix,ZHO,4,SOFT,5,24.85,30.7
Belgian Grand Prix,ALB,1,SOFT,7,18.441666666666666,28.2
Belgian Grand Prix,ALB,2,MEDIUM,16,18.01764705882353,28.0
Belgian Grand Prix,ALB,3,MEDIUM,10,17.52,28.29
Belgian Grand Prix,ALB,4,SOFT,11,18.78181818181818,29.254545454545454
Belgian Grand Prix,ALO,1,MEDIUM,10,18.292857142857144,28.571428571428573
Belgian Grand Prix,ALO,2,MEDIUM,19,17.695,27.26
Belgian Grand Prix,ALO,3,SOFT,15,18.7125,29.3875
Belgian Grand Prix,BOT,1,SOFT,6,18.35,29.0375
Belgian Grand Prix,BOT,2,MEDIUM,18,18.02,27.76
Belgian Grand Prix,BOT,3,MEDIUM,20,18.360869565217392,28.291304347826088
Belgian Grand Prix,GAS,1,SOFT,23,18.11923076923077,28.54615384615385
Belgian Grand Prix,GAS,2,MEDIUM,21,18.269565217391303,28.41304347826087
Belgian Grand Prix,HAM,1,SOFT,12,18.240000000000002,28.846666666666668
Belgian Grand Prix,HAM,2,MEDIUM,15,17.794117647058822,26.705882352941178
Belgian Grand Prix,HAM,3,SOFT,15,18.558823529411764,29.08235294117647
Belgian Grand Prix,HAM,4,MEDIUM,2,19.6,25.74
Belgian Grand Prix,HUL,1,MEDIUM,12,18.313333333333333,29.240000000000002
Belgian Grand Prix,HUL,2,SOFT,12,17.823076923076922,27.03076923076923
Belgian Grand Prix,HUL,3,SOFT,20,18.25,29.03
Belgian Grand Prix,LEC,1,SOFT,13,18.323529411764707,28.723529411764705
Belgian Grand Prix,LEC,2,MEDIUM,15,17.65,26.80625
Belgian Grand Prix,LEC,3,SOFT,16,18.61176470588235,29.423529411764704
Belgian Grand Prix,MAG,1,SOFT,5,18.555555555555557,28.27777777777778
Belgian Grand Prix,MAG,2,MEDIUM,20,17.98695652173913,27.604347826086954
Belgian Grand Prix,MAG,3,MEDIUM,19,18.442857142857143,28.695238095238096
Belgian Grand Prix,NOR,1,MEDIUM,5,18.555555555555557,28.166666666666668
Belgian Grand Prix,NOR,2,HARD,12,18.2875,27.95625
Belgian Grand Prix,NOR,3,SOFT,27,18.107142857142858,28.214285714285715
Belgian Grand Prix,OCO,1,SOFT,6,18.366666666666667,28.54444444444444
Belgian Grand Prix,OCO,2,MEDIUM,19,17.96666666666667,27.64761904761905
Belgian Grand Prix,OCO,3,SOFT,19,18.384999999999998,28.96
