GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp
Canadian Grand Prix,HUL,2,HARD,20,18.05,27.153125
Canadian Grand Prix,HUL,3,HARD,38,18.433333333333334,27.697916666666668
Canadian Grand Prix,LEC,1,MEDIUM,39,18.374137931034483,28.936206896551724
Canadian Grand Prix,LEC,2,HARD,31,18.627777777777776,26.996296296296297
Canadian Grand Prix,MAG,1,HARD,34,18.93529411764706,30.2921568627451
Canadian Grand Prix,MAG,2,MEDIUM,18,18.40625,26.8875
Canadian Grand Prix,MAG,3,MEDIUM,16,17.923333333333336,25.08
Canadian Grand Prix,NOR,1,MEDIUM,12,19.588,31.408
Canadian Grand Prix,NOR,2,HARD,23,17.530952380952378,25.428571428571427
Canadian Grand Prix,NOR,3,HARD,36,18.738636363636363,28.420454545454547
Canadian Grand Prix,OCO,1,MEDIUM,12,19.874193548387098,31.34193548387097
Canadian Grand Prix,OCO,2,HARD,24,18.38157894736842,27.628947368421056
Canadian Grand Prix,OCO,3,HARD,34,18.975675675675678,29.178378378378376
Canadian Grand Prix,PER,1,HARD,37,19.048076923076923,30.609615384615385
Canadian Grand Prix,PER,2,MEDIUM,31,17.879591836734694,25.618367346938776
Canadian Grand Prix,PER,3,SOFT,2,17.18,22.09
Canadian Grand Prix,PIA,1,MEDIUM,12,19.7448275862069,31.33103448275862
Canadian Grand Prix,PIA,2,HARD,25,17.871739130434783,26.2
Canadian Grand Prix,PIA,3,HARD,33,18.27173913043478,26.932608695652174
Canadian Grand Prix,RUS,1,MEDIUM,11,20.693103448275863,33.13448275862069
Canadian Grand Prix,RUS,2,HARD,41,18.64181818181818,28.605454545454545
Canadian Grand Prix,SAI,1,MEDIUM,38,18.603333333333335,29.34333333333333
Canadian Grand Prix,SAI,2,HARD,32,19.06382978723404,28.274468085106385
Canadian Grand Prix,SAR,1,MEDIUM,6,18.477777777777778,27.29259259259259
Canadian Grand Prix,STR,1,MEDIUM,11,18.880000000000003,30.095
Canadian Grand Prix,STR,2,HARD,16,18.208333333333332,26.86111111111111
Canadian Grand Prix,STR,3,HARD,43,18.666666666666668,28.080701754385963
Canadian Grand Prix,TSU,1,MEDIUM,1,19.9,30.3
Canadian Grand Prix,TSU,2,HARD,34,18.515384615384615,28.64423076923077
Canadian Grand Prix,VER,1,MEDIUM,12,19.552,31.344
Canadian Grand Prix,VER,2,HARD,30,18.053061224489795,26.79387755102041
Canadian Grand Prix,VER,3,MEDIUM,28,18.342105263157894,27.057894736842105
Canadian Grand Prix,ZHO,1,MEDIUM,12,20.05185185185185,32.4
Canadian Grand Prix,ZHO,2,HARD,20,18.01578947368421,26.56578947368421
Canadian Grand Prix,ZHO,3,HARD,37,18.45098039215686,27.53529411764706
Dutch Grand Prix,ALB,1,SOFT,44,17.462745098039218,27.24705882352941
Dutch Grand Prix,ALB,2,MEDIUM,17,18.204545454545453,28.29090909090909
Dutch Grand Prix,ALB,3,INTERMEDIATE,7,20.254545454545454,33.36363636363637
Dutch Grand Prix,ALB,5,INTERMEDIATE,14,15.814285714285715,19.25714285714286
Dutch Grand Prix,ALO,1,SOFT,2,18.599999999999998,29.900000000000002
Dutch Grand Prix,ALO,2,INTERMEDIATE,8,18.025,27.950000000000003
Dutch Grand Prix,ALO,3,SOFT,38,17.41904761904762,27.62142857142857
Dutch Grand Prix,ALO,4,SOFT,15,18.685714285714283,29.390476190476193
Dutch Grand Prix,ALO,5,INTERMEDIATE,5,17.1,24.35
Dutch Grand Prix,ALO,6,INTERMEDIATE,14,15.814285714285715,19.271428571428572
Dutch Grand Prix,BOT,1,SOFT,16,16.86470588235294,25.49411764705882
Dutch Grand Prix,BOT,2,MEDIUM,31,17.943589743589744,28.446153846153848
Dutch Grand Prix,BOT,3,SOFT,12,17.630769230769232,26.576923076923077
Dutch Grand Prix,BOT,4,INTERMEDIATE,4,19.51,31.21
Dutch Grand Prix,BOT,6,INTERMEDIATE,9,15.799999999999999,19.25714285714286
Dutch Grand Prix,GAS,1,SOFT,1,20.666666666666668,32.324999999999996
Dutch Grand Prix,GAS,2,INTERMEDIATE,16,18.441176470588236,29.435294117647057
Dutch Grand Prix,GAS,3,SOFT,35,17.74186046511628,28.32325581395349
Dutch Grand Prix,GAS,4,SOFT,14,17.37142857142857,26.17142857142857
Dutch Grand Prix,GAS,5,INTERMEDIATE,3,17.1,24.46666666666667
Dutch Grand Prix,GAS,6,INTERMEDIATE,12,15.814285714285715,19.25714285714286
Dutch Grand Prix,HAM,1,MEDIUM,3,19.845454545454547,30.88181818181818
Dutch Grand Prix,HAM,2,INTERMEDIATE,6,18.240000000000002,28.25
Dutch Grand Prix,HAM,3,SOFT,36,16.977777777777778,26.605555555555554
Dutch Grand Prix,HAM,4,SOFT,15,18.265,28.544999999999998
Dutch Grand Prix,HAM,5,INTERMEDIATE,9,17.1,24.46666666666667
Dutch Grand Prix,HAM,6,INTERMEDIATE,14,15.814285714285715,19.25714285714286
Dutch Grand Prix,HUL,1,SOFT,16,17.891304347826086,27.230434782608693
Dutch Grand Prix,HUL,2,MEDIUM,32,17.36470588235294,27.685294117647057
Dutch Grand Prix,HUL,3,SOFT,12,17.576923076923077,26.46923076923077
Dutch Grand Prix,HUL,4,INTERMEDIATE,6,17.066666666666666,23.933333333333334
Dutch Grand Prix,HUL,6,INTERMEDIATE,13,15.814285714285715,19.25714285714286
Dutch Grand Prix,LAW,1,SOFT,1,17.5,28.6
Dutch Grand Prix,LAW,2,INTERMEDIATE,14,16.544444444444444,24.855555555555558
Dutch Grand Prix,LAW,3,SOFT,7,16.62857142857143,25.014285714285712
Dutch Grand Prix,LAW,4,MEDIUM,29,17.106896551724137,27.155172413793103
Dutch Grand Prix,LAW,5,SOFT,13,17.361538461538462,26.092307692307692
Dutch Grand Prix,LAW,6,INTERMEDIATE,3,17.1,24.566666666666666
Dutch Grand Prix,LAW,8,INTERMEDIATE,16,15.814285714285715,19.25714285714286
Dutch Grand Prix,LEC,1,SOFT,1,20.477777777777778,31.799999999999997
Dutch Grand Prix,LEC,2,INTERMEDIATE,10,18.28125,29.13125
Dutch Grand Prix,LEC,3,SOFT,30,17.818421052631578,28.686842105263157
Dutch Grand Prix,MAG,1,SOFT,1,19.96,30.619999999999997
Dutch Grand Prix,MAG,2,INTERMEDIATE,8,18.23846153846154,27.884615384615383
Dutch Grand Prix,MAG,3,SOFT,26,17.40344827586207,27.78620689655172
Dutch Grand Prix,MAG,4,MEDIUM,25,17.660714285714285,26.760714285714283
Dutch Grand Prix,MAG,5,INTERMEDIATE,2,19.1,30.3
Dutch Grand Prix,MAG,7,INTERMEDIATE,12,15.814285714285715,19.25714285714286
Dutch Grand Prix,NOR,1,SOFT,3,17.3,28.066666666666666
Dutch Grand Prix,NOR,2,INTERMEDIATE,7,16.4,24.314285714285717
Dutch Grand Prix,NOR,3,SOFT,33,17.096969696969698,26.98181818181818
Dutch Grand Prix,NOR,4,SOFT,21,17.557894736842105,26.542105263157897
Dutch Grand Prix,NOR,5,INTERMEDIATE,7,18.150000000000002,26.85
Dutch Grand Prix,NOR,7,INTERMEDIATE,20,16.4875,21.3375
Dutch Grand Prix,OCO,1,SOFT,2,20.392307692307693,32.04615384615385
Dutch Grand Prix,OCO,2,INTERMEDIATE,8,18.246153846153845,28.976923076923075
Dutch Grand Prix,OCO,3,SOFT,33,17.823809523809523,28.566666666666666
Dutch Grand Prix,OCO,4,SOFT,18,17.355555555555558,26.12222222222222
Dutch Grand Prix,OCO,5,WET,2,17.05,23.55
Dutch Grand Prix,OCO,7,INTERMEDIATE,9,15.814285714285715,19.25714285714286
Dutch Grand Prix,PER,1,SOFT,1,20.60909090909091,32.20909090909091
Dutch Grand Prix,PER,2,INTERMEDIATE,11,17.98125,28.2625
Dutch Grand Prix,PER,3,SOFT,33,17.778048780487804,28.48048780487805
Dutch Grand Prix,PER,4,SOFT,16,17.386666666666667,26.253333333333334
Dutch Grand Prix,PER,5,INTERMEDIATE,9,17.1,24.46666666666667
Dutch Grand Prix,PER,7,INTERMEDIATE,15,15.814285714285715,19.271428571428572
Dutch Grand Prix,PIA,1,SOFT,15,16.62666666666667,25.133333333333333
Dutch Grand Prix,PIA,2,SOFT,31,17.083870967741937,27.048387096774192
Dutch Grand Prix,PIA,3,MEDIUM,14,18.69090909090909,29.245454545454546
Dutch Grand Prix,PIA,4,INTERMEDIATE,8,19.89090909090909,32.27272727272727
Dutch Grand Prix,PIA,6,INTERMEDIATE,13,15.814285714285715,19.25714285714286
Dutch Grand Prix,RUS,1,SOFT,4,19.21,29.73
Dutch Grand Prix,RUS,2,INTERMEDIATE,6,18.7,29.233333333333334
Dutch Grand Prix,RUS,3,SOFT,6,16.566666666666666,24.8
Dutch Grand Prix,RUS,4,HARD,44,17.69607843137255,27.97450980392157
Dutch Grand Prix,RUS,5,INTERMEDIATE,15,17.1,24.46666666666667
Dutch Grand Prix,RUS,7,INTERMEDIATE,9,15.850000000000001,19.549999999999997
Dutch Grand Prix,RUS,8,INTERMEDIATE,11,15.76,19.080000000000002
Dutch Grand Prix,SAI,1,SOFT,2,17.5,29.0
Dutch Grand Prix,SAI,2,INTERMEDIATE,8,16.4875,24.7625
Dutch Grand Prix,SAI,3,SOFT,31,16.967741935483872,26.816129032258065
Dutch Grand Prix,SAI,4,SOFT,21,17.33157894736842,26.042105263157897
Dutch Grand Prix,SAI,5,INTERMEDIATE,18,17.1,24.46666666666667
Dutch Grand Prix,SAI,6,INTERMEDIATE,12,15.814285714285715,19.25714285714286
Dutch Grand Prix,SAR,1,SOFT,14,18.282608695652176,27.956521739130434
Dutch Grand Prix,STR,1,SOFT,4,17.86,28.639999999999997
Dutch Grand Prix,STR,2,INTERMEDIATE,5,16.4,24.240000000000002
Dutch Grand Prix,STR,3,SOFT,7,16.6,24.857142857142858
Dutch Grand Prix,STR,4,MEDIUM,18,17.144444444444446,28.211111111111112
Dutch Grand Prix,STR,5,SOFT,26,17.21923076923077,25.83076923076923
Dutch Grand Prix,STR,6,INTERMEDIATE,8,17.066666666666666,23.933333333333334
Dutch Grand Prix,STR,8,INTERMEDIATE,14,15.814285714285715,19.25714285714286
Dutch Grand Prix,TSU,1,SOFT,1,19.0,29.55
Dutch Grand Prix,TSU,2,INTERMEDIATE,14,16.97,25.630000000000003
Dutch Grand Prix,TSU,3,SOFT,50,17.59122807017544,27.596491228070175
Dutch Grand Prix,TSU,4,INTERMEDIATE,8,19.3,30.457142857142856
Dutch Grand Prix,TSU,6,INTERMEDIATE,14,15.814285714285715,19.25714285714286
Dutch Grand Prix,VER,1,SOFT,2,20.15,31.410000000000004
Dutch Grand Prix,VER,2,INTERMEDIATE,9,19.09047619047619,30.419047619047618
Dutch Grand Prix,VER,3,SOFT,38,17.59318181818182,27.986363636363638
Dutch Grand Prix,VER,4,SOFT,13,17.275000000000002,25.616666666666664
Dutch Grand Prix,VER,5,INTERMEDIATE,14,17.1,24.450000000000003
Dutch Grand Prix,VER,7,INTERMEDIATE,12,15.814285714285715,19.271428571428572
Dutch Grand Prix,ZHO,1,SOFT,1,19.0,29.85
Dutch Grand Prix,ZHO,2,INTERMEDIATE,9,18.34,29.006666666666668
Dutch Grand Prix,ZHO,3,MEDIUM,27,16.977777777777778,27.07037037037037
Dutch Grand Prix,ZHO,4,SOFT,23,18.126666666666665,28.08
Dutch Grand Prix,ZHO,5,INTERMEDIATE,2,17.1,24.5
Hungarian Grand Prix,ALB,1,MEDIUM,8,25.922727272727272,42.77727272727273
Hungarian Grand Prix,ALB,2,HARD,26,27.7625,46.56875
Hungarian Grand Prix,ALB,3,HARD,38,28.904878048780485,46.42926829268293
Hungarian Grand Prix,ALO,1,MEDIUM,23,27.275757575757577,46.19090909090909
Hungarian Grand Prix,ALO,2,HARD,27,27.896774193548385,45.95483870967742
Hungarian Grand Prix,ALO,3,HARD,27,28.46060606060606,45.68787878787879
Hungarian Grand Prix,BOT,1,MEDIUM,12,26.870588235294118,44.42352941176471
Hungarian Grand Prix,BOT,2,HARD,36,28.37297297297297,47.13243243243244
Hungarian Grand Prix,BOT,3,HARD,32,27.785000000000004,43.805
Hungarian Grand Prix,GAS,1,SOFT,1,24.52,40.94
Hungarian Grand Prix,HAM,1,MEDIUM,19,28.022727272727273,47.809090909090905
Hungarian Grand Prix,HAM,2,HARD,33,28.35,46.83
Hungarian Grand Prix,HAM,3,MEDIUM,24,28.25185185185185,44.818518518518516
Hungarian Grand Prix,HUL,1,MEDIUM,19,26.91,45.9
Hungarian Grand Prix,HUL,2,HARD,25,27.445714285714285,46.128571428571426
Hungarian Grand Prix,HUL,3,HARD,36,26.926785714285717,42.33571428571429
Hungarian Grand Prix,LEC,1,MEDIUM,20,27.712,47.176
Hungarian Grand Prix,LEC,2,HARD,26,27.127659574468087,46.4063829787234
Hungarian Grand Prix,LEC,3,HARD,31,28.211111111111112,45.900000000000006
Hungarian Grand Prix,MAG,1,MEDIUM,14,26.728571428571428,45.44285714285714
Hungarian Grand Prix,MAG,2,HARD,30,27.65897435897436,45.715384615384615
Hungarian Grand Prix,MAG,3,HARD,33,27.156521739130437,43.04565217391304
Hungarian Grand Prix,NOR,1,MEDIUM,17,26.619444444444444,45.3
Hungarian Grand Prix,NOR,2,HARD,27,27.986842105263158,46.973684210526315
Hungarian Grand Prix,NOR,3,MEDIUM,29,26.851063829787233,41.34255319148936
Hungarian Grand Prix,OCO,1,MEDIUM,5,24.582608695652173,40.73913043478261
Hungarian Grand Prix,PER,1,HARD,27,27.720000000000002,47.36
Hungarian Grand Prix,PER,2,MEDIUM,24,26.908571428571427,45.52
Hungarian Grand Prix,PER,3,MEDIUM,31,28.335135135135136,45.62432432432432
Hungarian Grand Prix,PIA,1,MEDIUM,20,27.283333333333335,46.56666666666667
Hungarian Grand Prix,PIA,2,HARD,24,27.467567567567567,45.554054054054056
Hungarian Grand Prix,PIA,3,MEDIUM,31,27.64761904761905,44.49047619047619
Hungarian Grand Prix,RIC,1,MEDIUM,21,26.28,44.394999999999996
Hungarian Grand Prix,RIC,2,HARD,14,26.491999999999997,44.716
Hungarian Grand Prix,RIC,3,MEDIUM,43,28.789130434782606,47.03478260869565
Hungarian Grand Prix,RUS,1,HARD,28,27.580487804878047,45.88780487804878
Hungarian Grand Prix,RUS,2,MEDIUM,18,26.576315789473682,43.90526315789474
Hungarian Grand Prix,RUS,3,MEDIUM,24,26.96578947368421,41.3421052631579
Hungarian Grand Prix,SAI,1,SOFT,15,27.303846153846152,46.72692307692308
Hungarian Grand Prix,SAI,2,HARD,29,27.186274509803923,46.38235294117647
Hungarian Grand Prix,SAI,3,HARD,29,28.484375,45.64375
Hungarian Grand Prix,SAR,1,MEDIUM,13,26.791999999999998,44.86
Hungarian Grand Prix,SAR,2,HARD,24,27.55625,46.29375
Hungarian Grand Prix,SAR,3,HARD,33,29.02,47.01714285714286
Hungarian Grand Prix,STR,1,SOFT,9,25.815384615384616,42.86923076923077
Hungarian Grand Prix,STR,2,HARD,30,27.86176470588235,46.220588235294116
Hungarian Grand Prix,STR,3,HARD,39,27.3625,43.03214285714286
Hungarian Grand Prix,TSU,1,SOFT,9,25.56,43.59666666666667
Hungarian Grand Prix,TSU,2,HARD,38,28.10217391304348,47.40217391304348
Hungarian Grand Prix,TSU,3,MEDIUM,25,28.44193548387097,45.68387096774194
Hungarian Grand Prix,VER,1,MEDIUM,26,27.494444444444444,46.580555555555556
Hungarian Grand Prix,VER,2,HARD,28,27.6046511627907,46.593023255813954
Hungarian Grand Prix,VER,3,MEDIUM,22,27.413333333333334,42.833333333333336
Hungarian Grand Prix,ZHO,1,MEDIUM,13,26.589999999999996,43.515
Hungarian Grand Prix,ZHO,2,HARD,33,28.365714285714283,47.222857142857144
Hungarian Grand Prix,ZHO,3,HARD,36,28.797142857142855,46.24
Italian Grand Prix,ALB,1,MEDIUM,18,29.673333333333336,43.44666666666667
Italian Grand Prix,ALB,2,HARD,39,29.94166666666667,42.68055555555556
Italian Grand Prix,ALO,1,MEDIUM,21,29.742857142857144,43.58095238095238
Italian Grand Prix,ALO,2,HARD,33,29.953333333333333,42.43333333333333
Italian Grand Prix,BOT,1,HARD,28,29.764,43.571999999999996
Italian Grand Prix,BOT,2,MEDIUM,28,29.968000000000004,42.28
Italian Grand Prix,GAS,1,MEDIUM,10,29.560000000000002,43.36
Italian Grand Prix,GAS,2,HARD,24,29.890476190476193,43.46666666666666
Italian Grand Prix,GAS,3,MEDIUM,19,30.00526315789474,42.04210526315789
Italian Grand Prix,HAM,1,HARD,30,29.77777777777778,43.55555555555556
Italian Grand Prix,HAM,2,MEDIUM,24,29.97083333333333,42.175000000000004
Italian Grand Prix,HUL,1,MEDIUM,17,29.657142857142855,43.44285714285714
Italian Grand Prix,HUL,2,HARD,30,29.892,43.20399999999999
Italian Grand Prix,HUL,3,MEDIUM,14,30.063636363636363,41.64545454545455
Italian Grand Prix,LAW,1,MEDIUM,16,29.63076923076923,43.42307692307692
Italian Grand Prix,LAW,2,HARD,23,29.869999999999997,43.37
Italian Grand Prix,LAW,3,MEDIUM,20,30.029411764705884,41.99411764705882
Italian Grand Prix,LEC,1,MEDIUM,20,29.73,43.555
Italian Grand Prix,LEC,2,HARD,31,29.958064516129035,42.50967741935484
Italian Grand Prix,MAG,1,HARD,16,29.608333333333334,43.333333333333336
Italian Grand Prix,MAG,2,MEDIUM,21,29.885714285714286,43.37619047619047
Italian Grand Prix,MAG,3,MEDIUM,17,30.023529411764706,41.99411764705882
Italian Grand Prix,NOR,1,MEDIUM,22,29.745454545454546,43.58181818181818
Italian Grand Prix,NOR,2,HARD,33,29.951724137931034,42.393103448275866
Italian Grand Prix,OCO,1,MEDIUM,24,29.7625,43.57083333333333
Italian Grand Prix,OCO,2,HARD,18,29.873333333333335,42.78
Italian Grand Prix,PER,1,MEDIUM,21,29.738095238095237,43.58571428571428
Italian Grand Prix,PER,2,HARD,30,29.956666666666667,42.46
Italian Grand Prix,PIA,1,MEDIUM,23,29.752173913043475,43.582608695652176
Italian Grand Prix,PIA,2,HARD,23,29.90555555555555,42.827777777777776
Italian Grand Prix,PIA,3,MEDIUM,12,30.033333333333335,41.388888888888886
Italian Grand Prix,RUS,1,MEDIUM,19,29.710526315789473,43.52105263157895
Italian Grand Prix,RUS,2,HARD,35,29.95,42.55
Italian Grand Prix,SAI,1,MEDIUM,19,29.71578947368421,43.51052631578948
Italian Grand Prix,SAI,2,HARD,32,29.95625,42.565625
Italian Grand Prix,SAR,1,MEDIUM,17,29.657142857142855,43.44285714285714
Italian Grand Prix,SAR,2,HARD,39,29.938888888888886,42.74444444444444
Italian Grand Prix,STR,1,MEDIUM,20,29.73,43.545
Italian Grand Prix,STR,2,HARD,34,29.95,42.47666666666667
Italian Grand Prix,VER,1,MEDIUM,20,29.73,43.555
Italian Grand Prix,VER,2,HARD,31,29.95483870967742,42.50645161290323
Italian Grand Prix,ZHO,1,MEDIUM,11,29.59090909090909,43.35454545454545
Italian Grand Prix,ZHO,2,HARD,25,29.877272727272725,43.372727272727275
Italian Grand Prix,ZHO,3,MEDIUM,17,30.029411764705884,42.00588235294118
Japanese Grand Prix,ALB,2,MEDIUM,12,27.200000000000003,43.02222222222222
Japanese Grand Prix,ALB,3,SOFT,13,27.325,41.324999999999996
Japanese Grand Prix,ALO,1,SOFT,14,27.1375,43.0875
Japanese Grand Prix,ALO,2,HARD,14,27.32857142857143,41.971428571428575
Japanese Grand Prix,ALO,3,HARD,28,27.260714285714283,37.449999999999996
Japanese Grand Prix,BOT,2,SOFT,5,27.15,42.9
Japanese Grand Prix,GAS,1,MEDIUM,18,27.228571428571428,43.028571428571425
Japanese Grand Prix,GAS,2,HARD,16,27.35625,39.41875
Japanese Grand Prix,GAS,3,HARD,19,27.210526315789473,37.00526315789474
Japanese Grand Prix,HAM,1,MEDIUM,16,27.200000000000003,43.099999999999994
Japanese Grand Prix,HAM,2,HARD,18,27.35,39.86666666666667
Japanese Grand Prix,HAM,3,HARD,19,27.22631578947368,37.06842105263158
Japanese Grand Prix,HUL,1,SOFT,8,27.15,42.775
Japanese Grand Prix,HUL,2,MEDIUM,13,27.26923076923077,42.83076923076923
Japanese Grand Prix,HUL,3,HARD,16,27.349999999999998,38.5875
Japanese Grand Prix,HUL,4,MEDIUM,15,27.206666666666667,36.92666666666666
Japanese Grand Prix,LAW,1,SOFT,10,27.12857142857143,43.05714285714286
Japanese Grand Prix,LAW,2,MEDIUM,15,27.32,42.04666666666667
Japanese Grand Prix,LAW,3,HARD,27,27.27037037037037,37.49629629629629
Japanese Grand Prix,LEC,1,MEDIUM,17,27.207142857142856,43.107142857142854
Japanese Grand Prix,LEC,2,MEDIUM,17,27.35882352941176,39.80588235294118
Japanese Grand Prix,LEC,3,HARD,19,27.22631578947368,37.06842105263158
Japanese Grand Prix,MAG,1,MEDIUM,12,27.175,43.025
Japanese Grand Prix,MAG,2,HARD,19,27.326315789473686,40.752631578947366
Japanese Grand Prix,MAG,3,HARD,21,27.23333333333333,37.15238095238095
Japanese Grand Prix,NOR,1,MEDIUM,17,27.192857142857143,43.128571428571426
Japanese Grand Prix,NOR,2,HARD,19,27.35263157894737,39.55789473684211
Japanese Grand Prix,NOR,3,HARD,17,27.22941176470588,37.05294117647059
Japanese Grand Prix,OCO,2,HARD,27,27.28333333333333,41.925000000000004
Japanese Grand Prix,OCO,3,HARD,25,27.248,37.275999999999996
Japanese Grand Prix,PER,1,MEDIUM,1,27.0,43.9
Japanese Grand Prix,PER,2,HARD,10,27.175,43.025
Japanese Grand Prix,PER,5,SOFT,7,27.3,37.2
Japanese Grand Prix,PIA,1,MEDIUM,13,27.18,43.12
Japanese Grand Prix,PIA,2,HARD,22,27.34090909090909,40.300000000000004
Japanese Grand Prix,PIA,3,HARD,18,27.227777777777778,37.05555555555556
Japanese Grand Prix,RUS,1,MEDIUM,24,27.24761904761905,42.62380952380953
Japanese Grand Prix,RUS,2,HARD,29,27.282758620689656,37.55862068965517
Japanese Grand Prix,SAI,1,MEDIUM,18,27.21333333333333,43.086666666666666
Japanese Grand Prix,SAI,2,MEDIUM,20,27.35,39.22
Japanese Grand Prix,SAI,3,HARD,15,27.21333333333333,36.919999999999995
Japanese Grand Prix,SAR,2,MEDIUM,5,27.2,43.0
Japanese Grand Prix,SAR,3,MEDIUM,16,27.240000000000002,42.873333333333335
Japanese Grand Prix,SAR,4,HARD,1,27.4,40.4
Japanese Grand Prix,STR,1,SOFT,14,27.21,43.03
Japanese Grand Prix,STR,2,MEDIUM,6,27.266666666666666,42.800000000000004
Japanese Grand Prix,TSU,1,SOFT,12,27.116666666666664,42.98333333333333
Japanese Grand Prix,TSU,2,MEDIUM,21,27.323809523809523,41.285714285714285
Japanese Grand Prix,TSU,3,HARD,22,27.25,37.25454545454546
Japanese Grand Prix,VER,1,MEDIUM,16,27.184615384615384,43.12307692307692
Japanese Grand Prix,VER,2,MEDIUM,21,27.342857142857145,39.642857142857146
Japanese Grand Prix,VER,3,HARD,16,27.225,36.99375
Japanese Grand Prix,ZHO,2,SOFT,9,27.150000000000002,42.916666666666664
Japanese Grand Prix,ZHO,3,SOFT,19,27.326315789473686,41.32105263157895
Japanese Grand Prix,ZHO,4,HARD,23,27.247826086956525,37.29130434782609
Las Vegas Grand Prix,ALB,1,MEDIUM,17,17.355,17.419999999999998
Las Vegas Grand Prix,ALB,2,HARD,27,17.71875,17.66875
Las Vegas Grand Prix,ALB,3,HARD,15,17.538888888888888,17.56666666666667
Las Vegas Grand Prix,ALO,1,MEDIUM,12,17.1625,17.31875
Las Vegas Grand Prix,ALO,2,HARD,25,17.815384615384616,17.61923076923077
Las Vegas Grand Prix,ALO,3,HARD,23,17.351724137931033,17.53793103448276
Las Vegas Grand Prix,BOT,1,HARD,29,17.542105263157897,17.650000000000002
Las Vegas Grand Prix,BOT,2,MEDIUM,28,17.59142857142857,17.682857142857145
Las Vegas Grand Prix,GAS,1,MEDIUM,17,17.2,17.4375
Las Vegas Grand Prix,GAS,2,HARD,15,17.518181818181816,17.813636363636366
Las Vegas Grand Prix,GAS,3,HARD,26,17.33888888888889,17.59166666666667
Las Vegas Grand Prix,HAM,1,MEDIUM,15,17.44,17.64
Las Vegas Grand Prix,HAM,2,HARD,20,17.73913043478261,17.63478260869565
Las Vegas Grand Prix,HAM,3,HARD,23,17.2,17.57027027027027
Las Vegas Grand Prix,HUL,1,MEDIUM,13,17.16,17.555
Las Vegas Grand Prix,HUL,2,HARD,20,17.606896551724137,17.83103448275862
Las Vegas Grand Prix,HUL,3,HARD,25,17.63448275862069,17.617241379310347
Las Vegas Grand Prix,LEC,1,MEDIUM,17,17.363636363636363,17.490909090909092
Las Vegas Grand Prix,LEC,2,HARD,18,17.663636363636364,17.686363636363637
Las Vegas Grand Prix,LEC,3,HARD,23,16.68936170212766,17.27872340425532
Las Vegas Grand Prix,MAG,1,MEDIUM,5,16.80625,17.91875
Las Vegas Grand Prix,MAG,2,HARD,17,17.719047619047622,17.738095238095237
Las Vegas Grand Prix,MAG,3,HARD,35,17.623255813953488,17.672093023255815
Las Vegas Grand Prix,NOR,1,MEDIUM,14,17.235,17.53
Las Vegas Grand Prix,NOR,2,HARD,19,17.813636363636363,17.70909090909091
Las Vegas Grand Prix,NOR,3,HARD,25,17.675,17.592857142857145
Las Vegas Grand Prix,OCO,1,MEDIUM,15,17.12272727272727,17.431818181818183
Las Vegas Grand Prix,OCO,2,HARD,43,17.802127659574467,17.629787234042553
Las Vegas Grand Prix,PER,1,MEDIUM,17,17.47826086956522,17.704347826086956
Las Vegas Grand Prix,PER,2,HARD,25,17.605882352941176,17.741176470588236
Las Vegas Grand Prix,PER,3,HARD,16,17.44090909090909,17.681818181818183
Las Vegas Grand Prix,PIA,1,MEDIUM,13,17.394444444444446,17.605555555555554
Las Vegas Grand Prix,PIA,2,HARD,23,17.733333333333334,17.674074074074074
Las Vegas Grand Prix,PIA,3,HARD,22,17.25151515151515,17.612121212121213
Las Vegas Grand Prix,RIC,1,MEDIUM,7,16.905,17.93
Las Vegas Grand Prix,RIC,2,HARD,24,17.67096774193548,17.770967741935483
Las Vegas Grand Prix,RIC,3,HARD,27,17.31282051282051,17.617948717948718
Las Vegas Grand Prix,RUS,1,MEDIUM,14,17.384999999999998,17.705000000000002
Las Vegas Grand Prix,RUS,2,HARD,20,17.68,17.72
Las Vegas Grand Prix,RUS,3,HARD,24,16.88888888888889,17.211111111111112
Las Vegas Grand Prix,SAI,1,HARD,23,17.525,17.803125
Las Vegas Grand Prix,SAI,2,HARD,33,17.67948717948718,17.661538461538463
Las Vegas Grand Prix,SAI,3,SOFT,1,16.82,18.365000000000002
Las Vegas Grand Prix,SAR,1,MEDIUM,16,17.36818181818182,17.745454545454546
Las Vegas Grand Prix,SAR,2,HARD,26,17.675,17.7
Las Vegas Grand Prix,SAR,3,HARD,17,16.487096774193546,16.9741935483871
Las Vegas Grand Prix,STR,1,HARD,23,17.344827586206897,17.482758620689655
Las Vegas Grand Prix,STR,2,HARD,21,17.482142857142858,17.760714285714286
Las Vegas Grand Prix,STR,3,MEDIUM,16,16.46764705882353,17.16470588235294
Las Vegas Grand Prix,TSU,1,MEDIUM,22,17.484375,17.790625
Las Vegas Grand Prix,TSU,2,HARD,36,17.709756097560973,17.63170731707317
Las Vegas Grand Prix,VER,1,MEDIUM,16,17.485,17.6
Las Vegas Grand Prix,VER,2,HARD,27,17.61081081081081,17.754054054054052
Las Vegas Grand Prix,VER,3,HARD,15,17.53333333333333,17.572222222222223
Las Vegas Grand Prix,ZHO,1,MEDIUM,13,17.166666666666668,17.614285714285714
Las Vegas Grand Prix,ZHO,2,HARD,24,17.64375,17.740625
Las Vegas Grand Prix,ZHO,3,MEDIUM,21,16.707894736842103,17.205263157894738
