Time,Status,Message,GP,Year
0 days 00:11:02.039000,1,AllClear,Pre-Season Testing,2023
0 days 01:51:46.307000,2,Yellow,Pre-Season Testing,2023
0 days 01:51:52.838000,6,VSCDeployed,Pre-Season Testing,2023
0 days 01:53:16.633000,4,SCDeployed,Pre-Season Testing,2023
0 days 02:05:50.823000,1,AllClear,Pre-Season Testing,2023
0 days 00:05:28.637000,1,AllClear,Bahrain Grand Prix,2023
0 days 00:21:59.040000,2,Yellow,Bahrain Grand Prix,2023
0 days 00:22:03.165000,1,AllClear,Bahrain Grand Prix,2023
0 days 01:03:07.651000,2,Yellow,Bahrain Grand Prix,2023
0 days 01:03:08.151000,1,AllClear,Bahrain Grand Prix,2023
0 days 01:04:15.978000,2,Yellow,Bahrain Grand Prix,2023
0 days 01:04:51.243000,1,AllClear,Bahrain Grand Prix,2023
0 days 02:08:59.830000,2,Yellow,Bahrain Grand Prix,2023
0 days 02:09:18.298000,6,VSCDeployed,Bahrain Grand Prix,2023
0 days 02:10:53.875000,7,VSCEnding,Bahrain Grand Prix,2023
0 days 02:11:06.437000,1,AllClear,Bahrain Grand Prix,2023
0 days 00:00:00,1,AllClear,Saudi Arabian Grand Prix,2023
0 days 01:29:32.087000,2,Yellow,Saudi Arabian Grand Prix,2023
0 days 01:30:11.102000,4,SCDeployed,Saudi Arabian Grand Prix,2023
0 days 01:37:27.407000,1,AllClear,Saudi Arabian Grand Prix,2023
0 days 00:00:00,2,Yellow,Australian Grand Prix,2023
0 days 00:13:07.538000,1,AllClear,Australian Grand Prix,2023
0 days 00:30:47.338000,2,Yellow,Australian Grand Prix,2023
0 days 00:39:12.957000,1,AllClear,Australian Grand Prix,2023
0 days 01:02:44.534000,2,Yellow,Australian Grand Prix,2023
0 days 01:03:25.831000,4,SCDeployed,Australian Grand Prix,2023
0 days 01:08:10.984000,1,AllClear,Australian Grand Prix,2023
0 days 01:13:10.543000,2,Yellow,Australian Grand Prix,2023
0 days 01:13:23.246000,4,SCDeployed,Australian Grand Prix,2023
0 days 01:16:01.056000,5,Red,Australian Grand Prix,2023
0 days 01:31:41.671000,1,AllClear,Australian Grand Prix,2023
0 days 01:47:34.722000,6,VSCDeployed,Australian Grand Prix,2023
0 days 01:49:37.049000,7,VSCEnding,Australian Grand Prix,2023
0 days 01:49:51.267000,1,AllClear,Australian Grand Prix,2023
0 days 02:36:29.985000,2,Yellow,Australian Grand Prix,2023
0 days 02:36:38.329000,1,AllClear,Australian Grand Prix,2023
0 days 02:37:30.688000,4,SCDeployed,Australian Grand Prix,2023
0 days 02:40:06.264000,5,Red,Australian Grand Prix,2023
0 days 02:50:08.585000,1,AllClear,Australian Grand Prix,2023
0 days 02:59:13.048000,2,Yellow,Australian Grand Prix,2023
0 days 02:59:25.329000,5,Red,Australian Grand Prix,2023
0 days 03:22:14.751000,1,AllClear,Australian Grand Prix,2023
0 days 03:36:04.835000,5,Red,Australian Grand Prix,2023
0 days 00:00:00,1,AllClear,Azerbaijan Grand Prix,2023
0 days 00:05:00.728000,2,Yellow,Azerbaijan Grand Prix,2023
0 days 00:05:07.931000,1,AllClear,Azerbaijan Grand Prix,2023
0 days 00:11:22.236000,2,Yellow,Azerbaijan Grand Prix,2023
0 days 00:12:05.735000,1,AllClear,Azerbaijan Grand Prix,2023
0 days 00:13:14.953000,2,Yellow,Azerbaijan Grand Prix,2023
0 days 00:13:29.625000,1,AllClear,Azerbaijan Grand Prix,2023
0 days 01:04:04.913000,2,Yellow,Azerbaijan Grand Prix,2023
0 days 01:04:22.382000,1,AllClear,Azerbaijan Grand Prix,2023
0 days 01:20:00.630000,2,Yellow,Azerbaijan Grand Prix,2023
0 days 01:20:08.130000,1,AllClear,Azerbaijan Grand Prix,2023
0 days 01:20:22.927000,2,Yellow,Azerbaijan Grand Prix,2023
0 days 01:21:22.441000,4,SCDeployed,Azerbaijan Grand Prix,2023
0 days 01:28:42.308000,1,AllClear,Azerbaijan Grand Prix,2023
0 days 01:34:43.021000,2,Yellow,Azerbaijan Grand Prix,2023
0 days 01:34:44.208000,1,AllClear,Azerbaijan Grand Prix,2023
0 days 02:31:24.334000,2,Yellow,Azerbaijan Grand Prix,2023
0 days 02:31:26.428000,1,AllClear,Azerbaijan Grand Prix,2023
0 days 00:00:00,1,AllClear,Miami Grand Prix,2023
0 days 00:19:40.236000,2,Yellow,Miami Grand Prix,2023
0 days 00:19:43.236000,1,AllClear,Miami Grand Prix,2023
0 days 00:19:45.330000,2,Yellow,Miami Grand Prix,2023
0 days 00:19:48.345000,1,AllClear,Miami Grand Prix,2023
0 days 00:00:00,1,AllClear,Monaco Grand Prix,2023
0 days 00:06:38.603000,2,Yellow,Monaco Grand Prix,2023
0 days 00:06:52.259000,1,AllClear,Monaco Grand Prix,2023
0 days 00:19:51.886000,2,Yellow,Monaco Grand Prix,2023
0 days 00:22:06.399000,1,AllClear,Monaco Grand Prix,2023
0 days 01:02:41.403000,2,Yellow,Monaco Grand Prix,2023
0 days 01:02:43.872000,1,AllClear,Monaco Grand Prix,2023
0 days 01:16:53.044000,2,Yellow,Monaco Grand Prix,2023
0 days 01:17:50.246000,1,AllClear,Monaco Grand Prix,2023
0 days 01:20:09.353000,2,Yellow,Monaco Grand Prix,2023
0 days 01:20:19.681000,1,AllClear,Monaco Grand Prix,2023
0 days 02:13:43.686000,2,Yellow,Monaco Grand Prix,2023
0 days 02:13:50.999000,1,AllClear,Monaco Grand Prix,2023
0 days 02:13:52.358000,2,Yellow,Monaco Grand Prix,2023
0 days 02:14:27.670000,1,AllClear,Monaco Grand Prix,2023
0 days 02:14:34.107000,2,Yellow,Monaco Grand Prix,2023
