Time,Status,Message,GP,Year
0 days 02:15:46.465000,1,AllClear,Monaco Grand Prix,2023
0 days 02:15:49.637000,2,Yellow,Monaco Grand Prix,2023
0 days 02:15:54.371000,1,AllClear,Monaco Grand Prix,2023
0 days 02:19:08.462000,2,Yellow,Monaco Grand Prix,2023
0 days 02:19:24.555000,1,AllClear,Monaco Grand Prix,2023
0 days 02:20:09.367000,2,Yellow,Monaco Grand Prix,2023
0 days 02:20:22.585000,1,AllClear,Monaco Grand Prix,2023
0 days 02:22:10.974000,2,Yellow,Monaco Grand Prix,2023
0 days 02:22:48.864000,1,AllClear,Monaco Grand Prix,2023
0 days 02:24:31.143000,2,Yellow,Monaco Grand Prix,2023
0 days 02:24:43.940000,1,AllClear,Monaco Grand Prix,2023
0 days 02:37:00.864000,2,Yellow,Monaco Grand Prix,2023
0 days 02:37:31.864000,1,AllClear,Monaco Grand Prix,2023
0 days 00:00:00,1,AllClear,Spanish Grand Prix,2023
0 days 00:00:00,1,AllClear,Canadian Grand Prix,2023
0 days 00:20:20.945000,2,Yellow,Canadian Grand Prix,2023
0 days 00:21:55.974000,1,AllClear,Canadian Grand Prix,2023
0 days 00:24:40.940000,2,Yellow,Canadian Grand Prix,2023
0 days 00:24:49.143000,1,AllClear,Canadian Grand Prix,2023
0 days 01:10:47.938000,2,Yellow,Canadian Grand Prix,2023
0 days 01:11:28.125000,6,VSCDeployed,Canadian Grand Prix,2023
0 days 01:12:03.077000,7,VSCEnding,Canadian Grand Prix,2023
0 days 01:12:14.311000,1,AllClear,Canadian Grand Prix,2023
0 days 01:17:38.759000,2,Yellow,Canadian Grand Prix,2023
0 days 01:17:43.165000,1,AllClear,Canadian Grand Prix,2023
0 days 01:17:44.509000,4,SCDeployed,Canadian Grand Prix,2023
0 days 01:26:16.875000,1,AllClear,Canadian Grand Prix,2023
0 days 01:42:40.014000,2,Yellow,Canadian Grand Prix,2023
0 days 01:42:43.295000,1,AllClear,Canadian Grand Prix,2023
0 days 01:50:57.036000,2,Yellow,Canadian Grand Prix,2023
0 days 01:51:55.597000,1,AllClear,Canadian Grand Prix,2023
0 days 00:10:31.151000,1,AllClear,Austrian Grand Prix,2023
0 days 01:02:11.953000,2,Yellow,Austrian Grand Prix,2023
0 days 01:02:17.938000,1,AllClear,Austrian Grand Prix,2023
0 days 01:02:55.281000,4,SCDeployed,Austrian Grand Prix,2023
0 days 01:06:45.308000,1,AllClear,Austrian Grand Prix,2023
0 days 01:18:35.546000,2,Yellow,Austrian Grand Prix,2023
0 days 01:19:51.372000,6,VSCDeployed,Austrian Grand Prix,2023
0 days 01:21:58.635000,7,VSCEnding,Austrian Grand Prix,2023
0 days 01:22:10.620000,1,AllClear,Austrian Grand Prix,2023
0 days 00:11:02.039000,1,AllClear,British Grand Prix,2023
0 days 01:51:46.307000,2,Yellow,British Grand Prix,2023
0 days 01:51:52.838000,6,VSCDeployed,British Grand Prix,2023
0 days 01:53:16.633000,4,SCDeployed,British Grand Prix,2023
0 days 02:05:50.823000,1,AllClear,British Grand Prix,2023
0 days 00:00:00,1,AllClear,Hungarian Grand Prix,2023
0 days 01:02:19.824000,2,Yellow,Hungarian Grand Prix,2023
0 days 01:02:28.793000,1,AllClear,Hungarian Grand Prix,2023
0 days 02:37:37.432000,2,Yellow,Hungarian Grand Prix,2023
0 days 02:37:44.791000,1,AllClear,Hungarian Grand Prix,2023
0 days 00:00:00,2,Yellow,Belgian Grand Prix,2023
0 days 00:05:56.684000,1,AllClear,Belgian Grand Prix,2023
0 days 00:28:36.184000,2,Yellow,Belgian Grand Prix,2023
0 days 00:29:50.105000,1,AllClear,Belgian Grand Prix,2023
0 days 00:51:13.731000,2,Yellow,Belgian Grand Prix,2023
0 days 00:51:35.715000,1,AllClear,Belgian Grand Prix,2023
0 days 01:05:29.425000,2,Yellow,Belgian Grand Prix,2023
0 days 01:07:05.236000,1,AllClear,Belgian Grand Prix,2023
0 days 01:07:18.799000,2,Yellow,Belgian Grand Prix,2023
0 days 01:07:25.111000,1,AllClear,Belgian Grand Prix,2023
0 days 02:25:23.966000,2,Yellow,Belgian Grand Prix,2023
0 days 00:00:00,1,AllClear,Dutch Grand Prix,2023
0 days 00:20:00.958000,2,Yellow,Dutch Grand Prix,2023
0 days 00:20:03.458000,1,AllClear,Dutch Grand Prix,2023
0 days 00:20:21.176000,2,Yellow,Dutch Grand Prix,2023
0 days 00:20:32.692000,1,AllClear,Dutch Grand Prix,2023
0 days 01:24:24.561000,2,Yellow,Dutch Grand Prix,2023
0 days 01:25:04.107000,4,SCDeployed,Dutch Grand Prix,2023
0 days 01:35:18.487000,1,AllClear,Dutch Grand Prix,2023
0 days 02:28:22.821000,2,Yellow,Dutch Grand Prix,2023
0 days 02:28:30.133000,1,AllClear,Dutch Grand Prix,2023
0 days 02:29:10.289000,2,Yellow,Dutch Grand Prix,2023
0 days 02:29:28.507000,6,VSCDeployed,Dutch Grand Prix,2023
0 days 02:30:15.725000,5,Red,Dutch Grand Prix,2023
0 days 03:09:38.621000,1,AllClear,Dutch Grand Prix,2023
0 days 03:13:13.226000,4,SCDeployed,Dutch Grand Prix,2023
0 days 03:17:43.893000,1,AllClear,Dutch Grand Prix,2023
0 days 00:01:52.215000,1,AllClear,Italian Grand Prix,2023
0 days 01:02:38.176000,2,Yellow,Italian Grand Prix,2023
0 days 01:12:00.217000,1,AllClear,Italian Grand Prix,2023
0 days 00:00:00,1,AllClear,Singapore Grand Prix,2023
0 days 01:04:20.881000,2,Yellow,Singapore Grand Prix,2023
0 days 01:04:26.069000,1,AllClear,Singapore Grand Prix,2023
0 days 01:04:37.490000,2,Yellow,Singapore Grand Prix,2023
0 days 01:04:55.006000,1,AllClear,Singapore Grand Prix,2023
0 days 01:34:03.392000,2,Yellow,Singapore Grand Prix,2023
0 days 01:34:23.252000,1,AllClear,Singapore Grand Prix,2023
0 days 01:35:40.282000,4,SCDeployed,Singapore Grand Prix,2023
0 days 01:41:49.293000,1,AllClear,Singapore Grand Prix,2023
0 days 02:16:10.019000,2,Yellow,Singapore Grand Prix,2023
0 days 02:17:05.534000,6,VSCDeployed,Singapore Grand Prix,2023
0 days 02:20:29.032000,7,VSCEnding,Singapore Grand Prix,2023
0 days 02:20:43.673000,1,AllClear,Singapore Grand Prix,2023
0 days 02:23:46.874000,2,Yellow,Singapore Grand Prix,2023
0 days 02:24:02.795000,1,AllClear,Singapore Grand Prix,2023
0 days 02:33:41.851000,2,Yellow,Singapore Grand Prix,2023
0 days 02:33:44.273000,1,AllClear,Singapore Grand Prix,2023
0 days 02:43:05.720000,2,Yellow,Singapore Grand Prix,2023
0 days 02:43:26.282000,1,AllClear,Singapore Grand Prix,2023
0 days 02:48:37.888000,2,Yellow,Singapore Grand Prix,2023
0 days 00:00:47.740000,1,AllClear,Japanese Grand Prix,2023
0 days 01:03:30.609000,2,Yellow,Japanese Grand Prix,2023
0 days 01:03:36.406000,1,AllClear,Japanese Grand Prix,2023
0 days 01:04:16.546000,4,SCDeployed,Japanese Grand Prix,2023
0 days 01:12:55.099000,1,AllClear,Japanese Grand Prix,2023
0 days 01:26:14.398000,2,Yellow,Japanese Grand Prix,2023
0 days 01:26:33.710000,1,AllClear,Japanese Grand Prix,2023
0 days 01:28:32.895000,6,VSCDeployed,Japanese Grand Prix,2023
0 days 01:29:34.785000,7,VSCEnding,Japanese Grand Prix,2023
0 days 01:29:49.738000,1,AllClear,Japanese Grand Prix,2023
0 days 02:37:07.447000,2,Yellow,Japanese Grand Prix,2023
0 days 02:37:32.635000,1,AllClear,Japanese Grand Prix,2023
0 days 00:11:33.566000,1,AllClear,Qatar Grand Prix,2023
0 days 01:02:48.255000,2,Yellow,Qatar Grand Prix,2023
0 days 01:03:42.880000,4,SCDeployed,Qatar Grand Prix,2023
0 days 01:11:23.546000,1,AllClear,Qatar Grand Prix,2023
0 days 01:54:35.955000,2,Yellow,Qatar Grand Prix,2023
0 days 01:54:38.877000,1,AllClear,Qatar Grand Prix,2023
0 days 02:06:29.759000,2,Yellow,Qatar Grand Prix,2023
0 days 02:06:32.791000,1,AllClear,Qatar Grand Prix,2023
