GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp,FreshTyre,RaceProgress,YellowLaps,SCLaps,VSCLaps,RedFlagLaps,CircuitType_x,TrackLength_x,CircuitType_y,TrackLength_y,CircuitType,TrackLength,TrackAbrasiveness
Australian Grand Prix,PIA,2,HARD,46,16.951249999999998,28.222500000000004,1,0.1851851851851851,2,3,5,1,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,RUS,1,MEDIUM,7,16.433333333333334,27.81515151515152,1,0.0185185185185185,9,19,0,2,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,RUS,3,HARD,10,16.422727272727272,26.545454545454547,0,0.1851851851851851,1,1,1,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,SAI,1,MEDIUM,7,16.693333333333335,28.46333333333333,0,0.0185185185185185,7,17,0,2,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,SAI,3,HARD,47,17.412068965517243,30.00344827586207,0,0.1851851851851851,1,1,4,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,SAR,1,HARD,1,16.277272727272727,27.145454545454548,1,0.0185185185185185,5,13,0,2,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,SAR,2,MEDIUM,1,17.950000000000003,33.8,1,0.037037037037037,0,1,0,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,SAR,3,HARD,6,15.994736842105263,26.9,0,0.0555555555555555,2,4,1,1,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,SAR,4,MEDIUM,28,17.917241379310347,31.803448275862067,1,0.1851851851851851,0,0,2,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,SAR,5,HARD,24,17.804545454545455,30.88181818181818,0,0.6851851851851852,1,1,2,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,STR,1,MEDIUM,8,17.23,30.22,0,0.0185185185185185,6,12,0,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,STR,2,HARD,46,17.276666666666664,29.49,1,0.1851851851851851,2,5,2,1,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,TSU,1,MEDIUM,7,16.545714285714286,28.145714285714288,1,0.0185185185185185,8,20,0,2,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,TSU,2,HARD,46,16.977464788732394,28.343661971830983,1,0.1851851851851851,2,4,4,1,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,VER,1,MEDIUM,7,16.7,28.695652173913043,1,0.0185185185185185,6,14,0,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,VER,2,HARD,46,17.175757575757576,29.348484848484848,1,0.1851851851851851,5,7,2,3,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,ZHO,1,SOFT,1,16.103703703703705,26.25925925925926,1,0.0185185185185185,7,17,0,2,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,ZHO,2,HARD,6,16.47857142857143,28.1,1,0.037037037037037,2,6,0,2,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,ZHO,3,HARD,53,17.370967741935484,29.346774193548388,0,0.1851851851851851,1,2,4,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Austrian Grand Prix,ALB,1,MEDIUM,2,24.9,38.55,1,0.0140845070422535,1,4,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,ALB,2,MEDIUM,14,25.90689655172413,41.49310344827586,0,0.0422535211267605,4,1,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
